feature_1,feature_2,real_corr,synthetic_corr,abs_corr_diff
credit_score,age,-0.004,-0.0207,0.0167
credit_score,tenure,0.0008,0.0144,0.0135
credit_score,balance,0.0063,0.0144,0.0081
credit_score,products_number,0.0122,0.0038,0.0084
credit_score,credit_card,-0.0055,-0.0086,0.0031
credit_score,active_member,0.0257,0.039,0.0134
credit_score,estimated_salary,-0.0014,0.0147,0.0161
age,tenure,-0.01,-0.0499,0.0399
age,balance,0.0283,0.0325,0.0042
age,products_number,-0.0307,-0.0585,0.0278
age,credit_card,-0.0117,-0.0078,0.0039
age,active_member,0.0855,0.0898,0.0043
age,estimated_salary,-0.0072,-0.0377,0.0305
tenure,balance,-0.0123,-0.0276,0.0154
tenure,products_number,0.0134,0.0354,0.022
tenure,credit_card,0.0226,0.0343,0.0117
tenure,active_member,-0.0284,-0.0108,0.0176
tenure,estimated_salary,0.0078,0.0083,0.0005
balance,products_number,-0.3042,-0.45,0.1458
balance,credit_card,-0.0149,-0.0066,0.0083
balance,active_member,-0.0101,-0.0532,0.0431
balance,estimated_salary,0.0128,-0.0024,0.0152
products_number,credit_card,0.0032,-0.0173,0.0205
products_number,active_member,0.0096,0.06,0.0504
products_number,estimated_salary,0.0142,-0.0009,0.0151
credit_card,active_member,-0.0119,0.0075,0.0194
credit_card,estimated_salary,-0.0099,-0.0114,0.0015
active_member,estimated_salary,-0.0114,-0.0358,0.0243
