label,column,metric,actual,synthetic,drift
churn,country,cramers_v,0.1736,0.2059,0.0323
churn,gender,cramers_v,0.1063,0.0644,0.0419
churn,credit_score,correlation,-0.0271,-0.0262,0.0009
churn,age,correlation,0.2853,0.1515,0.1338
churn,tenure,correlation,-0.014,-0.0308,0.0168
churn,balance,correlation,0.1185,0.1395,0.021
churn,products_number,correlation,-0.0478,-0.1595,0.1117
churn,credit_card,correlation,-0.0071,-0.0016,0.0055
churn,active_member,correlation,-0.1561,-0.1328,0.0233
churn,estimated_salary,correlation,0.0121,-0.0104,0.0225
