customer_id,credit_score,country,gender,age,tenure,balance,products_number,credit_card,active_member,estimated_salary,churn
15634602,560,France,Female,40,2,0.0,1,1,1,83495.51429321132,1
15647311,618,Spain,Female,40,2,124987.7505839437,1,0,1,119688.56038136726,0
15619304,439,France,Female,48,8,118886.74274917688,1,1,0,126008.79223021455,1
15701354,664,France,Female,35,3,0.0,2,0,0,82937.1307599766,0
15737888,746,Spain,Female,48,4,122153.75543337734,1,1,1,73915.29970557311,0
15574012,637,Spain,Male,44,8,82852.00453389573,2,1,0,136683.27350219173,0
15592531,822,France,Male,50,7,0.0,2,1,1,10062.8,0
15656148,544,Germany,Female,35,6,107577.08825352632,1,1,0,115930.7080773122,1
15792365,558,France,Male,38,4,127568.86907346745,2,0,1,51337.33286574247,0
15592389,643,France,Male,34,2,142876.0365291236,1,1,1,71715.26506829476,0
15767821,562,France,Male,37,5,56550.4762778515,2,0,0,75768.47957797808,0
15737173,507,Spain,Male,24,4,0.0,2,1,0,111205.59159313298,0
15632264,523,France,Female,38,10,0.0,2,1,0,31507.308791445335,0
15691483,549,France,Female,25,5,0.0,2,0,0,190857.79,0
15600882,692,Spain,Female,32,6,0.0,2,1,1,70531.04811778662,0
15643966,616,Germany,Male,45,3,143129.41,2,0,1,64327.26,0
15737452,644,Germany,Male,54,1,127441.50052152864,1,1,0,8339.143536938605,1
15788218,569,Spain,Female,24,8,0.0,2,1,1,40962.73795184506,0
15661507,593,Spain,Male,40,5,81669.12062715991,1,0,0,141209.01530773914,1
15568982,726,France,Female,24,6,0.0,2,1,1,54724.03,0
15577657,732,France,Male,38,8,0.0,2,1,1,170768.3240561219,0
15597945,636,Spain,Female,32,8,0.0,2,1,0,138555.46,0
15699309,590,Spain,Female,40,7,64491.43124273885,1,1,0,95322.54353929457,1
15725737,669,France,Male,46,3,0.0,2,0,1,8487.75,0
15625047,846,France,Female,38,5,0.0,1,1,1,187616.16,0
15738191,651,France,Male,32,3,0.0,2,0,1,152678.1804140376,0
15736816,826,Germany,Male,48,3,137383.37393662048,1,1,1,155433.5749211476,0
15700772,609,France,Male,34,9,0.0,2,0,0,97298.89834046172,0
15728693,584,Germany,Female,41,4,144583.39895084105,1,1,1,94183.50037797522,0
15656300,432,France,Male,28,1,71654.06381773167,2,1,1,35637.79982739466,0
15589475,601,Spain,Female,36,4,0.0,1,1,0,84669.75497781998,1
15706552,734,France,Male,37,4,126188.34683734541,1,0,1,170663.22344680774,0
15750181,699,Germany,Male,39,8,112819.55542073047,2,0,0,47205.94283312858,0
15659428,469,Spain,Female,28,6,0.0,2,1,1,24316.85564963381,0
15732963,687,Spain,Female,33,7,0.0,2,1,1,122339.59005502125,0
15794171,588,France,Female,49,1,19223.70367744916,1,1,0,23065.600308714547,1
15788448,516,Spain,Male,57,2,117178.16890463466,1,0,1,82410.86505195335,0
15729599,760,Spain,Male,41,3,95455.17901027223,1,0,1,119041.11012424472,0
15717426,850,France,Male,36,7,0.0,1,1,1,40812.9,0
15585768,605,Germany,Male,43,3,123059.70348449679,2,0,1,123077.96652066399,0
15619360,472,Spain,Male,40,4,0.0,1,1,0,70154.22,0
15738148,474,France,Female,37,7,124026.25233803371,1,0,0,171307.7427606027,1
15687946,556,France,Female,61,2,117419.35,1,1,1,94153.83,0
15755196,834,France,Female,49,2,131394.56,1,0,0,194365.76,1
15684171,660,Spain,Female,61,5,155931.11,1,1,1,158338.39,0
15754849,752,Germany,Female,36,9,112159.1580010651,2,1,1,87518.41741629856,0
15602280,767,Germany,Female,33,5,113701.3909577015,1,1,1,131195.5754961823,0
15771573,614,Germany,Female,39,8,110268.58624184589,1,1,1,108363.70832850774,0
15766205,600,Germany,Male,32,2,72635.26515343254,1,0,1,87772.10881252309,0
15771873,778,Germany,Female,44,2,103512.8546540224,2,1,0,191283.36923699745,0
15616550,660,Germany,Male,42,7,129914.6366512233,2,1,0,165118.60198343272,0
15768193,585,Germany,Male,36,5,146050.97,2,0,0,86424.57,0
15683553,746,France,Female,30,4,0.0,2,0,0,104856.25271432976,0
15702298,659,Germany,Female,49,9,115923.6366921532,1,0,0,145710.12664726615,1
15569590,601,Germany,Male,42,1,98495.72,1,1,0,40014.76,1
15760861,619,France,Male,43,1,125211.92,1,1,1,113410.49,0
15630053,675,France,Male,37,5,127894.21681435169,1,1,0,94465.20542480123,0
15647091,661,France,Male,21,0,48014.15812832846,1,0,0,46056.91065120001,0
15623944,613,Spain,Female,62,5,0.0,1,1,0,28926.49161713781,1
15804771,611,France,Male,44,4,45184.012754049734,1,1,1,40042.12786899668,0
15651280,746,Germany,Male,36,4,137961.59226680893,1,1,0,93192.30271701684,0
15773469,648,Germany,Female,29,9,128618.2547711952,2,1,0,86638.65843193847,0
15702014,558,Spain,Male,31,1,12248.200088423891,2,0,0,167130.1746528577,0
15751208,684,Spain,Male,56,8,78707.16,1,1,1,99398.36,0
15592461,603,Germany,Male,26,4,109166.37,1,1,1,92840.67,0
15789484,751,Germany,Female,37,3,160966.38359905168,2,1,1,27613.047017321303,0
15696061,567,Germany,Female,39,2,134105.22124480933,1,1,0,108243.11591299727,0
15641582,691,Germany,Male,54,9,120994.93713058368,2,1,1,180471.97628401918,0
15638424,648,France,Female,42,4,166148.5786091252,2,0,1,114630.178768453,0
15755648,580,France,Female,23,8,100594.05611039483,1,1,0,24915.83051103891,0
15703793,735,Germany,Male,58,4,130965.64108209425,1,1,0,27098.254878569467,1
15620344,813,France,Male,29,6,0.0,1,1,0,33953.87,0
15812518,674,Spain,Female,30,0,129165.44842014555,1,0,1,57607.46365118834,0
15779052,760,Germany,Female,29,7,150188.30151498065,2,1,1,66846.588454965,0
15770811,519,France,Male,36,9,0.0,2,0,1,145562.4,0
15780961,735,France,Female,21,1,178718.19,2,1,0,22388.0,0
15614049,664,France,Male,55,8,0.0,2,1,1,139161.64,0
15662085,687,France,Female,32,9,0.0,1,1,1,160590.9190763687,0
15575185,739,Spain,Male,39,4,98698.4006481695,1,0,0,178151.7874405686,0
15803136,454,Germany,Female,41,9,122895.25348065779,2,1,0,77817.67429293091,0
15706021,696,France,Female,30,2,124611.01274083307,2,0,0,108231.03125238502,0
15663706,766,France,Female,45,2,0.0,1,1,0,142541.48454210808,1
15641732,596,France,Female,35,3,0.0,2,0,0,32354.657843894616,0
15701164,539,France,Female,33,4,103788.65813839425,1,1,1,161535.94684924916,0
15738751,512,France,Female,43,4,0.0,2,1,0,3849.576417910675,0
15805254,690,Spain,Female,54,10,0.0,2,1,1,111042.54251386118,0
15762418,705,Spain,Male,46,3,120328.5221733928,1,1,0,120818.73941733668,0
15625759,778,France,Male,32,9,0.0,2,1,0,147175.0012282005,0
15622897,641,France,Female,48,5,0.0,1,1,0,99162.10960961504,1
15767954,632,France,Female,29,3,90410.52585531543,2,1,1,121112.56883221904,0
15757535,620,Spain,Female,40,5,0.0,2,1,1,127591.50664564545,0
15731511,735,France,Male,43,6,117505.2598640455,2,1,0,139600.07920770958,0
15809248,567,France,Female,32,9,0.0,2,1,0,120322.82744932947,0
15640635,769,France,Male,29,8,0.0,2,1,1,172290.61,0
15676966,732,Spain,Male,38,5,0.0,2,1,0,89917.02962939105,0
15699461,656,Spain,Male,33,6,160078.39769577104,1,0,1,120141.75969477837,0
15738721,709,Spain,Male,37,7,113341.6254469006,1,0,1,71400.33387013177,0
15693683,796,Germany,Male,29,6,103481.51779058608,2,1,1,186551.55776652088,0
15604348,724,Spain,Male,24,6,0.0,2,1,0,84402.63459128072,0
15633059,544,France,Male,34,7,0.0,2,1,0,15032.911916692236,0
15808582,665,France,Female,40,6,0.0,1,1,1,161848.03,0
15743192,620,France,Female,36,5,0.0,2,0,0,185210.3899600911,0
15580146,738,France,Male,31,9,82674.15,1,1,0,41970.72,0
15776605,540,Spain,Male,27,6,0.0,2,1,0,90547.91710626332,0
15804919,654,Spain,Female,52,1,42027.555438113224,1,1,1,172922.05845897214,0
15613854,635,Spain,Female,56,4,32840.25995487011,2,1,1,39866.99157960992,0
15599195,702,Germany,Male,31,1,107301.47342214698,1,1,1,31602.051764495773,0
15812878,763,Germany,Female,41,2,128256.12056023175,1,0,1,41556.1358911088,0
15602312,613,Spain,Male,34,2,148431.03747582235,1,0,0,50209.97292043784,0
15744689,580,Germany,Male,45,9,105732.41544120041,1,1,0,157510.43901301594,1
15803526,670,Germany,Male,31,3,100372.41373967232,1,1,1,46414.725635218,0
15665790,560,Germany,Male,36,7,119521.07196513737,2,1,0,11699.864419086718,0
15715951,591,France,Male,39,4,104999.79012401908,1,0,0,104397.1511241004,0
15591100,681,Spain,Male,32,5,129771.82275293709,1,1,1,43102.680952107185,0
15609618,813,Germany,Male,36,6,150361.0790033281,2,1,1,153639.14872685014,0
15675522,629,Germany,Female,30,9,112124.54619955107,2,1,1,92307.42331350081,0
15705512,611,Germany,Female,39,3,141715.6577848527,1,1,0,114256.05808343423,0
15698028,506,France,Female,41,1,0.0,2,1,0,31766.3,0
15661670,555,Germany,Female,37,7,97253.40960248387,1,1,0,125841.1025289434,1
15600781,706,Germany,Male,38,4,177756.00836901163,2,1,0,64812.060578403885,0
15682472,665,France,Male,35,6,133017.36585768286,2,1,0,136499.69754386792,0
15580203,674,Spain,Male,39,6,120193.42,1,0,0,100130.95,0
15690673,655,France,Female,38,7,0.0,2,1,0,143471.66421195574,0
15760085,678,Germany,Female,44,6,107787.21417913352,1,1,1,192115.64546915644,0
15779659,625,France,Female,30,3,0.0,1,0,0,91331.46278871286,0
15627360,494,France,Male,45,7,102050.98348292425,1,1,0,110271.15490889977,0
15671137,606,France,Female,44,1,60196.97386013999,1,1,1,51173.38026699269,1
15782688,647,Germany,Male,55,0,136173.12465186234,1,1,0,81114.51965248605,1
15575492,828,France,Female,41,7,0.0,2,1,0,171378.77,0
15591607,777,France,Male,28,9,105165.93544510823,1,1,0,164748.2361369007,0
15740404,758,France,Female,34,3,0.0,2,1,1,124226.16,0
15718369,764,Germany,Female,34,9,130205.00637576559,1,1,1,122533.80095059768,0
15677871,687,France,Male,38,9,122570.87,1,1,1,35608.88,0
15642004,686,France,Male,25,1,0.0,2,0,1,16459.37,0
15712543,802,Germany,Male,37,8,147305.52258417074,2,1,1,108531.00217855029,0
15584518,626,Germany,Female,40,4,102785.43382745082,2,1,1,33594.81671180215,0
15802381,581,Spain,Female,33,6,53706.73650754615,1,0,1,128298.0752966402,0
15610156,698,France,Male,38,2,113475.76077777169,1,0,1,86762.57266663497,0
15594408,606,Spain,Female,37,5,124569.72546773624,1,1,0,36334.903851310046,1
15640905,572,Spain,Female,31,1,120340.48817431103,2,0,1,37493.311626756746,0
15698932,619,Germany,Male,40,10,118833.05307314613,1,1,0,169898.30417076705,0
15724944,663,France,Male,34,7,0.0,2,1,1,180427.24,0
15628145,689,France,Female,41,4,118428.79927496042,1,1,1,156979.74139530445,0
15713483,793,Spain,Male,52,2,0.0,1,1,0,159123.82,1
15612350,679,France,Female,37,4,8204.901414576107,1,1,0,120627.86520940861,1
15800703,491,Spain,Female,29,3,104907.30203950296,1,1,1,68702.98604130991,0
15705707,635,Spain,Female,29,8,138296.94,2,1,0,141075.51,0
15754105,636,France,Male,35,7,41996.646911746284,1,0,0,46699.86951113757,0
15703264,704,France,Male,41,9,97343.72372663554,1,1,0,74101.89400943044,0
15794413,525,France,Male,35,0,0.0,2,0,1,12995.604836955295,0
15650237,692,Spain,Female,31,8,0.0,2,1,0,162532.87452932715,0
15759618,492,France,Female,53,8,12702.571399865863,1,1,0,151843.436586262,1
15811589,657,Spain,Male,40,8,0.0,2,1,0,163930.46087939313,0
15689044,538,France,Male,37,2,132898.3674038614,1,1,0,136596.9870096391,0
15709368,614,France,Female,43,6,0.0,2,1,1,109041.53,0
15679145,697,Spain,Male,45,8,0.0,1,1,0,38590.08189622773,1
15655007,687,France,Female,32,8,0.0,2,0,0,72947.31852672038,0
15623595,570,Spain,Female,33,2,0.0,2,1,1,55312.43036877713,0
15589975,642,France,Female,68,4,60481.74342486894,1,1,1,65812.52901922198,0
15804017,622,Germany,Female,35,3,121394.21450583512,1,1,0,125986.60747021387,0
15692132,681,Spain,Female,29,7,112748.40621952362,1,0,1,115025.75656336156,0
15641122,684,France,Male,30,2,0.0,2,1,0,83473.82,0
15630910,780,France,Female,37,6,112678.81233787819,1,0,0,28636.74553326565,0
15680772,721,Spain,Female,36,2,0.0,2,1,1,106977.8,0
15658929,645,Spain,Male,38,1,94562.47960483203,1,1,0,96936.51940448911,1
15585388,660,Germany,Male,31,9,125189.75,2,1,1,139874.43,0
15724623,635,Germany,Female,37,7,108161.49118744834,1,1,0,116639.73708524549,1
15588537,602,Spain,Female,44,9,117306.5331162953,1,1,1,186921.58499833636,0
