categorical_column,numerical_column,common_category_count,normalised_group_mean_diff
country,credit_score,3,0.0194
country,age,3,0.0242
country,tenure,3,0.0226
country,balance,3,0.0049
country,estimated_salary,3,0.0226
gender,credit_score,2,0.0006
gender,age,2,0.0239
gender,tenure,2,0.012
gender,balance,2,0.0181
gender,estimated_salary,2,0.0167
products_number,credit_score,3,0.0312
products_number,age,3,0.1382
products_number,tenure,3,0.1768
products_number,balance,3,0.2425
products_number,estimated_salary,3,0.0102
credit_card,credit_score,2,0.0042
credit_card,age,2,0.038
credit_card,tenure,2,0.019
credit_card,balance,2,0.0322
credit_card,estimated_salary,2,0.016
active_member,credit_score,2,0.0057
active_member,age,2,0.0435
active_member,tenure,2,0.013
active_member,balance,2,0.0174
active_member,estimated_salary,2,0.0175
churn,credit_score,2,0.006
churn,age,2,0.0862
churn,tenure,2,0.0281
churn,balance,2,0.0131
churn,estimated_salary,2,0.0441
