feature_1,feature_2,real_cramers_v,synthetic_cramers_v,abs_cramers_v_diff
country,gender,0.0263,0.0322,0.0059
country,products_number,0.0496,0.0625,0.0128
country,credit_card,0.015,0.141,0.126
country,active_member,0.023,0.0852,0.0622
country,churn,0.1736,0.2488,0.0752
gender,products_number,0.0453,0.0397,0.0056
gender,credit_card,0.0055,0.0211,0.0155
gender,active_member,0.0223,0.0193,0.003
gender,churn,0.1063,0.1236,0.0173
products_number,credit_card,0.0061,0.0269,0.0208
products_number,active_member,0.0415,0.0833,0.0418
products_number,churn,0.3878,0.3365,0.0513
credit_card,active_member,0.0116,0.0265,0.0149
credit_card,churn,0.0069,0.0995,0.0927
active_member,churn,0.1559,0.3045,0.1486
