folder,name,k_anonymity,k_neighbors,cat_gen_method,num_gen_method,scaler_method,num_weight,cat_weight,distance_profile,distance_mode,num_distance_metric,cat_distance_metric,minkowski_p,random_state,runtime_sec,peak_memory_mb,n_suppressed,tvd_pass_rate,ks_pass_rate,mean_tvd,mean_ks,mean_pair_drift,exact_match_rate,mean_psi,overall_pass,relationship_score,ks_quality,quality_score,composite_score,rank
004_k3_kn3_cat-weighted_mode_num-weighted_mean_scale-standard_weighted_sum-euclidean-cat-hamming_w-balanced,k=3 kn=3 cat=weighted_mode num=weighted_mean scale=standard weighted_sum/euclidean/hamming/balanced,3,3,weighted_mode,weighted_mean,standard,1.0,1.0,balanced,weighted_sum,euclidean,hamming,3,42,57.937,8.65,7180,0.5,1.0,0.0907,0.016,0.0393,0.0,0.0054,False,0.607,0.84,0.734,0.7234,1
012_k3_kn15_cat-probability_num-weighted_mean_scale-standard_weighted_sum-euclidean-cat-hamming_w-balanced,k=3 kn=15 cat=probability num=weighted_mean scale=standard weighted_sum/euclidean/hamming/balanced,3,15,probability,weighted_mean,standard,1.0,1.0,balanced,weighted_sum,euclidean,hamming,3,42,70.331,8.58,7180,0.5,1.0,0.0993,0.0204,0.0351,0.0,0.0094,False,0.649,0.796,0.7362,0.7233,2
011_k3_kn15_cat-probability_num-interpolation_scale-standard_weighted_sum-euclidean-cat-hamming_w-balanced,k=3 kn=15 cat=probability num=interpolation scale=standard weighted_sum/euclidean/hamming/balanced,3,15,probability,interpolation,standard,1.0,1.0,balanced,weighted_sum,euclidean,hamming,3,42,72.66,1869.61,7180,0.5,1.0,0.0993,0.0204,0.0351,0.0,0.0094,False,0.649,0.796,0.7362,0.7229,3
008_k3_kn15_cat-mode_num-weighted_mean_scale-standard_weighted_sum-euclidean-cat-hamming_w-balanced,k=3 kn=15 cat=mode num=weighted_mean scale=standard weighted_sum/euclidean/hamming/balanced,3,15,mode,weighted_mean,standard,1.0,1.0,balanced,weighted_sum,euclidean,hamming,3,42,60.379,8.52,7180,0.5,1.0,0.0907,0.016,0.0393,0.0,0.0054,False,0.607,0.84,0.734,0.7229,4
005_k3_kn3_cat-probability_num-interpolation_scale-standard_weighted_sum-euclidean-cat-hamming_w-balanced,k=3 kn=3 cat=probability num=interpolation scale=standard weighted_sum/euclidean/hamming/balanced,3,3,probability,interpolation,standard,1.0,1.0,balanced,weighted_sum,euclidean,hamming,3,42,60.443,8.24,7180,0.5,1.0,0.0907,0.016,0.0393,0.0,0.0054,False,0.607,0.84,0.734,0.7229,5
003_k3_kn3_cat-weighted_mode_num-interpolation_scale-standard_weighted_sum-euclidean-cat-hamming_w-balanced,k=3 kn=3 cat=weighted_mode num=interpolation scale=standard weighted_sum/euclidean/hamming/balanced,3,3,weighted_mode,interpolation,standard,1.0,1.0,balanced,weighted_sum,euclidean,hamming,3,42,60.597,8.44,7180,0.5,1.0,0.0907,0.016,0.0393,0.0,0.0054,False,0.607,0.84,0.734,0.7229,6
009_k3_kn15_cat-weighted_mode_num-interpolation_scale-standard_weighted_sum-euclidean-cat-hamming_w-balanced,k=3 kn=15 cat=weighted_mode num=interpolation scale=standard weighted_sum/euclidean/hamming/balanced,3,15,weighted_mode,interpolation,standard,1.0,1.0,balanced,weighted_sum,euclidean,hamming,3,42,60.923,8.57,7180,0.5,1.0,0.0907,0.016,0.0393,0.0,0.0054,False,0.607,0.84,0.734,0.7228,7
002_k3_kn3_cat-mode_num-weighted_mean_scale-standard_weighted_sum-euclidean-cat-hamming_w-balanced,k=3 kn=3 cat=mode num=weighted_mean scale=standard weighted_sum/euclidean/hamming/balanced,3,3,mode,weighted_mean,standard,1.0,1.0,balanced,weighted_sum,euclidean,hamming,3,42,61.582,8.71,7180,0.5,1.0,0.0907,0.016,0.0393,0.0,0.0054,False,0.607,0.84,0.734,0.7227,8
010_k3_kn15_cat-weighted_mode_num-weighted_mean_scale-standard_weighted_sum-euclidean-cat-hamming_w-balanced,k=3 kn=15 cat=weighted_mode num=weighted_mean scale=standard weighted_sum/euclidean/hamming/balanced,3,15,weighted_mode,weighted_mean,standard,1.0,1.0,balanced,weighted_sum,euclidean,hamming,3,42,62.041,8.46,7180,0.5,1.0,0.0907,0.016,0.0393,0.0,0.0054,False,0.607,0.84,0.734,0.7226,9
007_k3_kn15_cat-mode_num-interpolation_scale-standard_weighted_sum-euclidean-cat-hamming_w-balanced,k=3 kn=15 cat=mode num=interpolation scale=standard weighted_sum/euclidean/hamming/balanced,3,15,mode,interpolation,standard,1.0,1.0,balanced,weighted_sum,euclidean,hamming,3,42,63.18,8.35,7180,0.5,1.0,0.0907,0.016,0.0393,0.0,0.0054,False,0.607,0.84,0.734,0.7224,10
