data_source,source_row_id,customer_id,credit_score,country,gender,age,tenure,balance,products_number,credit_card,active_member,estimated_salary,churn
actual,1,15634602,619.0,France,Female,42.0,2.0,0.0,1.0,1.0,1.0,101348.88,1
actual,2,15647311,608.0,Spain,Female,41.0,1.0,83807.86,1.0,0.0,1.0,112542.58,0
actual,3,15619304,502.0,France,Female,42.0,8.0,159660.8,3.0,1.0,0.0,113931.57,1
actual,4,15701354,699.0,France,Female,39.0,1.0,0.0,2.0,0.0,0.0,93826.63,0
actual,5,15737888,850.0,Spain,Female,43.0,2.0,125510.82,1.0,1.0,1.0,79084.1,0
actual,6,15574012,645.0,Spain,Male,44.0,8.0,113755.78,2.0,1.0,0.0,149756.71,1
actual,7,15592531,822.0,France,Male,50.0,7.0,0.0,2.0,1.0,1.0,10062.8,0
actual,8,15656148,376.0,Germany,Female,29.0,4.0,115046.74,4.0,1.0,0.0,119346.88,1
actual,9,15792365,501.0,France,Male,44.0,4.0,142051.07,2.0,0.0,1.0,74940.5,0
actual,10,15592389,684.0,France,Male,27.0,2.0,134603.88,1.0,1.0,1.0,71725.73,0
actual,11,15767821,528.0,France,Male,31.0,6.0,102016.72,2.0,0.0,0.0,80181.12,0
actual,12,15737173,497.0,Spain,Male,24.0,3.0,0.0,2.0,1.0,0.0,76390.01,0
actual,13,15632264,476.0,France,Female,34.0,10.0,0.0,2.0,1.0,0.0,26260.98,0
actual,14,15691483,549.0,France,Female,25.0,5.0,0.0,2.0,0.0,0.0,190857.79,0
actual,15,15600882,635.0,Spain,Female,35.0,7.0,0.0,2.0,1.0,1.0,65951.65,0
actual,16,15643966,616.0,Germany,Male,45.0,3.0,143129.41,2.0,0.0,1.0,64327.26,0
actual,17,15737452,653.0,Germany,Male,58.0,1.0,132602.88,1.0,1.0,0.0,5097.67,1
actual,18,15788218,549.0,Spain,Female,24.0,9.0,0.0,2.0,1.0,1.0,14406.41,0
actual,19,15661507,587.0,Spain,Male,45.0,6.0,0.0,1.0,0.0,0.0,158684.81,0
actual,20,15568982,726.0,France,Female,24.0,6.0,0.0,2.0,1.0,1.0,54724.03,0
actual,21,15577657,732.0,France,Male,41.0,8.0,0.0,2.0,1.0,1.0,170886.17,0
