folder,name,k_anonymity,k_neighbors,cat_gen_method,num_gen_method,scaler_method,num_weight,cat_weight,distance_profile,distance_mode,num_distance_metric,cat_distance_metric,minkowski_p,random_state,runtime_sec,peak_memory_mb,n_suppressed,tvd_pass_rate,ks_pass_rate,mean_tvd,mean_ks,mean_pair_drift,exact_match_rate,mean_psi,overall_pass,relationship_score,ks_quality,quality_score,composite_score,rank
004_k3_kn3_cat-weighted_mode_num-weighted_mean_scale-standard_weighted_sum-euclidean-cat-hamming_w-balanced,k=3 kn=3 cat=weighted_mode num=weighted_mean scale=standard weighted_sum/euclidean/hamming/balanced,3,3,weighted_mode,weighted_mean,standard,1.0,1.0,balanced,weighted_sum,euclidean,hamming,3,42,57.937,8.65,7180,0.5,1.0,0.0907,0.016,0.0393,0.0,0.0054,False,0.607,0.84,0.734,0.717,1
008_k3_kn15_cat-mode_num-weighted_mean_scale-standard_weighted_sum-euclidean-cat-hamming_w-balanced,k=3 kn=15 cat=mode num=weighted_mean scale=standard weighted_sum/euclidean/hamming/balanced,3,15,mode,weighted_mean,standard,1.0,1.0,balanced,weighted_sum,euclidean,hamming,3,42,60.379,8.52,7180,0.5,1.0,0.0907,0.016,0.0393,0.0,0.0054,False,0.607,0.84,0.734,0.7162,2
005_k3_kn3_cat-probability_num-interpolation_scale-standard_weighted_sum-euclidean-cat-hamming_w-balanced,k=3 kn=3 cat=probability num=interpolation scale=standard weighted_sum/euclidean/hamming/balanced,3,3,probability,interpolation,standard,1.0,1.0,balanced,weighted_sum,euclidean,hamming,3,42,60.443,8.24,7180,0.5,1.0,0.0907,0.016,0.0393,0.0,0.0054,False,0.607,0.84,0.734,0.7162,3
003_k3_kn3_cat-weighted_mode_num-interpolation_scale-standard_weighted_sum-euclidean-cat-hamming_w-balanced,k=3 kn=3 cat=weighted_mode num=interpolation scale=standard weighted_sum/euclidean/hamming/balanced,3,3,weighted_mode,interpolation,standard,1.0,1.0,balanced,weighted_sum,euclidean,hamming,3,42,60.597,8.44,7180,0.5,1.0,0.0907,0.016,0.0393,0.0,0.0054,False,0.607,0.84,0.734,0.7162,4
009_k3_kn15_cat-weighted_mode_num-interpolation_scale-standard_weighted_sum-euclidean-cat-hamming_w-balanced,k=3 kn=15 cat=weighted_mode num=interpolation scale=standard weighted_sum/euclidean/hamming/balanced,3,15,weighted_mode,interpolation,standard,1.0,1.0,balanced,weighted_sum,euclidean,hamming,3,42,60.923,8.57,7180,0.5,1.0,0.0907,0.016,0.0393,0.0,0.0054,False,0.607,0.84,0.734,0.7161,5
002_k3_kn3_cat-mode_num-weighted_mean_scale-standard_weighted_sum-euclidean-cat-hamming_w-balanced,k=3 kn=3 cat=mode num=weighted_mean scale=standard weighted_sum/euclidean/hamming/balanced,3,3,mode,weighted_mean,standard,1.0,1.0,balanced,weighted_sum,euclidean,hamming,3,42,61.582,8.71,7180,0.5,1.0,0.0907,0.016,0.0393,0.0,0.0054,False,0.607,0.84,0.734,0.7159,6
010_k3_kn15_cat-weighted_mode_num-weighted_mean_scale-standard_weighted_sum-euclidean-cat-hamming_w-balanced,k=3 kn=15 cat=weighted_mode num=weighted_mean scale=standard weighted_sum/euclidean/hamming/balanced,3,15,weighted_mode,weighted_mean,standard,1.0,1.0,balanced,weighted_sum,euclidean,hamming,3,42,62.041,8.46,7180,0.5,1.0,0.0907,0.016,0.0393,0.0,0.0054,False,0.607,0.84,0.734,0.7157,7
007_k3_kn15_cat-mode_num-interpolation_scale-standard_weighted_sum-euclidean-cat-hamming_w-balanced,k=3 kn=15 cat=mode num=interpolation scale=standard weighted_sum/euclidean/hamming/balanced,3,15,mode,interpolation,standard,1.0,1.0,balanced,weighted_sum,euclidean,hamming,3,42,63.18,8.35,7180,0.5,1.0,0.0907,0.016,0.0393,0.0,0.0054,False,0.607,0.84,0.734,0.7154,8
001_k3_kn3_cat-mode_num-interpolation_scale-standard_weighted_sum-euclidean-cat-hamming_w-balanced,k=3 kn=3 cat=mode num=interpolation scale=standard weighted_sum/euclidean/hamming/balanced,3,3,mode,interpolation,standard,1.0,1.0,balanced,weighted_sum,euclidean,hamming,3,42,65.339,1856.63,7180,0.5,1.0,0.0907,0.016,0.0393,0.0,0.0054,False,0.607,0.84,0.734,0.7148,9
006_k3_kn3_cat-probability_num-weighted_mean_scale-standard_weighted_sum-euclidean-cat-hamming_w-balanced,k=3 kn=3 cat=probability num=weighted_mean scale=standard weighted_sum/euclidean/hamming/balanced,3,3,probability,weighted_mean,standard,1.0,1.0,balanced,weighted_sum,euclidean,hamming,3,42,67.97,8.59,7180,0.5,1.0,0.0907,0.016,0.0393,0.0,0.0054,False,0.607,0.84,0.734,0.714,10
