folder,name,relationship_col,target_kind,k_anonymity,k_neighbors,cat_gen_method,num_gen_method,target_gen_method,target_gen_method_config,scaler_method,num_weight,cat_weight,distance_profile,distance_mode,num_distance_metric,cat_distance_metric,minkowski_p,random_state,runtime_sec,peak_memory_mb,n_suppressed,tvd_pass_rate,ks_pass_rate,mean_tvd,mean_ks,mean_corr_drift,exact_match_rate,mean_psi,target_rate_drift,target_ks,auc_retention_ratio,real_auc,synthetic_auc,f1_retention_ratio,real_f1,synthetic_f1,r2_retention_ratio,real_r2,synthetic_r2,rmse_retention_ratio,real_rmse,synthetic_rmse,mean_iv_retention,overall_pass,relationship_score,ks_quality,utility_score,quality_score,composite_score,rank
031_k3_kn15_cat-probability_num-interpolation_tgt-interpolation_scale-robust_weighted_sum-euclidean-cat-hamming_w-balanced,k=3 kn=15 cat=probability num=interpolation tgt=interpolation scale=robust weighted_sum/euclidean/hamming/balanced,estimated_salary,numeric,3,15,probability,interpolation,interpolation,,robust,1.0,1.0,balanced,weighted_sum,euclidean,hamming,3,42,53.744,7.95,7180,1.0,1.0,0.0378,0.0279,0.01296,0.0,0.0234,0.0173,0.0634,,,,,,,1.0,-0.0036,-0.0036,1.0,57559.5957,57560.7341,,True,0.7408,0.721,1.0,0.9199,0.9057,1
007_k3_kn3_cat-weighted_mode_num-interpolation_tgt-interpolation_scale-robust_weighted_sum-euclidean-cat-hamming_w-balanced,k=3 kn=3 cat=weighted_mode num=interpolation tgt=interpolation scale=robust weighted_sum/euclidean/hamming/balanced,estimated_salary,numeric,3,3,weighted_mode,interpolation,interpolation,,robust,1.0,1.0,balanced,weighted_sum,euclidean,hamming,3,42,58.91,7.89,7180,1.0,1.0,0.0378,0.0279,0.01296,0.0,0.0234,0.0173,0.0634,,,,,,,1.0,-0.0036,-0.0036,1.0,57559.5957,57560.7341,,True,0.7408,0.721,1.0,0.9199,0.9043,2
019_k3_kn15_cat-mode_num-interpolation_tgt-interpolation_scale-robust_weighted_sum-euclidean-cat-hamming_w-balanced,k=3 kn=15 cat=mode num=interpolation tgt=interpolation scale=robust weighted_sum/euclidean/hamming/balanced,estimated_salary,numeric,3,15,mode,interpolation,interpolation,,robust,1.0,1.0,balanced,weighted_sum,euclidean,hamming,3,42,59.39,7.97,7180,1.0,1.0,0.0378,0.0279,0.01296,0.0,0.0234,0.0173,0.0634,,,,,,,1.0,-0.0036,-0.0036,1.0,57559.5957,57560.7341,,True,0.7408,0.721,1.0,0.9199,0.9042,3
025_k3_kn15_cat-weighted_mode_num-interpolation_tgt-interpolation_scale-robust_weighted_sum-euclidean-cat-hamming_w-balanced,k=3 kn=15 cat=weighted_mode num=interpolation tgt=interpolation scale=robust weighted_sum/euclidean/hamming/balanced,estimated_salary,numeric,3,15,weighted_mode,interpolation,interpolation,,robust,1.0,1.0,balanced,weighted_sum,euclidean,hamming,3,42,59.479,7.87,7180,1.0,1.0,0.0378,0.0279,0.01296,0.0,0.0234,0.0173,0.0634,,,,,,,1.0,-0.0036,-0.0036,1.0,57559.5957,57560.7341,,True,0.7408,0.721,1.0,0.9199,0.9042,4
013_k3_kn3_cat-probability_num-interpolation_tgt-interpolation_scale-robust_weighted_sum-euclidean-cat-hamming_w-balanced,k=3 kn=3 cat=probability num=interpolation tgt=interpolation scale=robust weighted_sum/euclidean/hamming/balanced,estimated_salary,numeric,3,3,probability,interpolation,interpolation,,robust,1.0,1.0,balanced,weighted_sum,euclidean,hamming,3,42,59.977,7.75,7180,1.0,1.0,0.0378,0.0279,0.01296,0.0,0.0234,0.0173,0.0634,,,,,,,1.0,-0.0036,-0.0036,1.0,57559.5957,57560.7341,,True,0.7408,0.721,1.0,0.9199,0.9041,5
032_k3_kn15_cat-probability_num-interpolation_tgt-interpolation_scale-robust_weighted_sum-euclidean-cat-jaccard_w-balanced,k=3 kn=15 cat=probability num=interpolation tgt=interpolation scale=robust weighted_sum/euclidean/jaccard/balanced,estimated_salary,numeric,3,15,probability,interpolation,interpolation,,robust,1.0,1.0,balanced,weighted_sum,euclidean,jaccard,3,42,54.69,7.94,7180,1.0,1.0,0.0206,0.029,0.01327,0.0,0.0233,0.0181,0.0626,,,,,,,1.1667,-0.0036,-0.0042,0.9997,57559.5957,57576.7001,,True,0.7346,0.71,1.0832000000000002,0.9174,0.903,6
008_k3_kn3_cat-weighted_mode_num-interpolation_tgt-interpolation_scale-robust_weighted_sum-euclidean-cat-jaccard_w-balanced,k=3 kn=3 cat=weighted_mode num=interpolation tgt=interpolation scale=robust weighted_sum/euclidean/jaccard/balanced,estimated_salary,numeric,3,3,weighted_mode,interpolation,interpolation,,robust,1.0,1.0,balanced,weighted_sum,euclidean,jaccard,3,42,57.399,7.75,7180,1.0,1.0,0.0206,0.029,0.01327,0.0,0.0233,0.0181,0.0626,,,,,,,1.1667,-0.0036,-0.0042,0.9997,57559.5957,57576.7001,,True,0.7346,0.71,1.0832000000000002,0.9174,0.9022,7
026_k3_kn15_cat-weighted_mode_num-interpolation_tgt-interpolation_scale-robust_weighted_sum-euclidean-cat-jaccard_w-balanced,k=3 kn=15 cat=weighted_mode num=interpolation tgt=interpolation scale=robust weighted_sum/euclidean/jaccard/balanced,estimated_salary,numeric,3,15,weighted_mode,interpolation,interpolation,,robust,1.0,1.0,balanced,weighted_sum,euclidean,jaccard,3,42,57.75,7.77,7180,1.0,1.0,0.0206,0.029,0.01327,0.0,0.0233,0.0181,0.0626,,,,,,,1.1667,-0.0036,-0.0042,0.9997,57559.5957,57576.7001,,True,0.7346,0.71,1.0832000000000002,0.9174,0.9022,8
014_k3_kn3_cat-probability_num-interpolation_tgt-interpolation_scale-robust_weighted_sum-euclidean-cat-jaccard_w-balanced,k=3 kn=3 cat=probability num=interpolation tgt=interpolation scale=robust weighted_sum/euclidean/jaccard/balanced,estimated_salary,numeric,3,3,probability,interpolation,interpolation,,robust,1.0,1.0,balanced,weighted_sum,euclidean,jaccard,3,42,58.059,7.88,7180,1.0,1.0,0.0206,0.029,0.01327,0.0,0.0233,0.0181,0.0626,,,,,,,1.1667,-0.0036,-0.0042,0.9997,57559.5957,57576.7001,,True,0.7346,0.71,1.0832000000000002,0.9174,0.9021,9
020_k3_kn15_cat-mode_num-interpolation_tgt-interpolation_scale-robust_weighted_sum-euclidean-cat-jaccard_w-balanced,k=3 kn=15 cat=mode num=interpolation tgt=interpolation scale=robust weighted_sum/euclidean/jaccard/balanced,estimated_salary,numeric,3,15,mode,interpolation,interpolation,,robust,1.0,1.0,balanced,weighted_sum,euclidean,jaccard,3,42,60.261,7.78,7180,1.0,1.0,0.0206,0.029,0.01327,0.0,0.0233,0.0181,0.0626,,,,,,,1.1667,-0.0036,-0.0042,0.9997,57559.5957,57576.7001,,True,0.7346,0.71,1.0832000000000002,0.9174,0.9015,10
002_k3_kn3_cat-mode_num-interpolation_tgt-interpolation_scale-robust_weighted_sum-euclidean-cat-jaccard_w-balanced,k=3 kn=3 cat=mode num=interpolation tgt=interpolation scale=robust weighted_sum/euclidean/jaccard/balanced,estimated_salary,numeric,3,3,mode,interpolation,interpolation,,robust,1.0,1.0,balanced,weighted_sum,euclidean,jaccard,3,42,64.624,2781.35,7180,1.0,1.0,0.0206,0.029,0.01327,0.0,0.0233,0.0181,0.0626,,,,,,,1.1667,-0.0036,-0.0042,0.9997,57559.5957,57576.7001,,True,0.7346,0.71,1.0832000000000002,0.9174,0.9003,11
001_k3_kn3_cat-mode_num-interpolation_tgt-interpolation_scale-robust_weighted_sum-euclidean-cat-hamming_w-balanced,k=3 kn=3 cat=mode num=interpolation tgt=interpolation scale=robust weighted_sum/euclidean/hamming/balanced,estimated_salary,numeric,3,3,mode,interpolation,interpolation,,robust,1.0,1.0,balanced,weighted_sum,euclidean,hamming,3,42,75.757,2783.51,7180,1.0,1.0,0.0378,0.0279,0.01296,0.0,0.0234,0.0173,0.0634,,,,,,,1.0,-0.0036,-0.0036,1.0,57559.5957,57560.7341,,True,0.7408,0.721,1.0,0.9199,0.8999,12
041_k3_kn3_cat-probability_num-interpolation_tgt-interpolation_scale-robust_gower-euclidean_w-balanced,k=3 kn=3 cat=probability num=interpolation tgt=interpolation scale=robust gower/euclidean/gower/balanced,estimated_salary,numeric,3,3,probability,interpolation,interpolation,,robust,1.0,1.0,balanced,gower,euclidean,hamming,3,42,67.189,7.94,7180,1.0,1.0,0.0051,0.0254,0.01531,0.0,0.0251,0.0143,0.0616,,,,,,,1.9722,-0.0036,-0.0071,0.9983,57559.5957,57658.7246,,True,0.6938,0.746,1.48525,0.9144,0.8967,13
043_k3_kn15_cat-mode_num-interpolation_tgt-interpolation_scale-robust_gower-euclidean_w-balanced,k=3 kn=15 cat=mode num=interpolation tgt=interpolation scale=robust gower/euclidean/gower/balanced,estimated_salary,numeric,3,15,mode,interpolation,interpolation,,robust,1.0,1.0,balanced,gower,euclidean,hamming,3,42,67.594,7.84,7180,1.0,1.0,0.0051,0.0254,0.01531,0.0,0.0251,0.0143,0.0616,,,,,,,1.9722,-0.0036,-0.0071,0.9983,57559.5957,57658.7246,,True,0.6938,0.746,1.48525,0.9144,0.8966,14
045_k3_kn15_cat-weighted_mode_num-interpolation_tgt-interpolation_scale-robust_gower-euclidean_w-balanced,k=3 kn=15 cat=weighted_mode num=interpolation tgt=interpolation scale=robust gower/euclidean/gower/balanced,estimated_salary,numeric,3,15,weighted_mode,interpolation,interpolation,,robust,1.0,1.0,balanced,gower,euclidean,hamming,3,42,69.151,7.71,7180,1.0,1.0,0.0051,0.0254,0.01531,0.0,0.0251,0.0143,0.0616,,,,,,,1.9722,-0.0036,-0.0071,0.9983,57559.5957,57658.7246,,True,0.6938,0.746,1.48525,0.9144,0.8961,15
039_k3_kn3_cat-weighted_mode_num-interpolation_tgt-interpolation_scale-robust_gower-euclidean_w-balanced,k=3 kn=3 cat=weighted_mode num=interpolation tgt=interpolation scale=robust gower/euclidean/gower/balanced,estimated_salary,numeric,3,3,weighted_mode,interpolation,interpolation,,robust,1.0,1.0,balanced,gower,euclidean,hamming,3,42,69.559,7.91,7180,1.0,1.0,0.0051,0.0254,0.01531,0.0,0.0251,0.0143,0.0616,,,,,,,1.9722,-0.0036,-0.0071,0.9983,57559.5957,57658.7246,,True,0.6938,0.746,1.48525,0.9144,0.896,16
037_k3_kn3_cat-mode_num-interpolation_tgt-interpolation_scale-robust_gower-euclidean_w-balanced,k=3 kn=3 cat=mode num=interpolation tgt=interpolation scale=robust gower/euclidean/gower/balanced,estimated_salary,numeric,3,3,mode,interpolation,interpolation,,robust,1.0,1.0,balanced,gower,euclidean,hamming,3,42,72.382,466.35,7180,1.0,1.0,0.0051,0.0254,0.01531,0.0,0.0251,0.0143,0.0616,,,,,,,1.9722,-0.0036,-0.0071,0.9983,57559.5957,57658.7246,,True,0.6938,0.746,1.48525,0.9144,0.8953,17
047_k3_kn15_cat-probability_num-interpolation_tgt-interpolation_scale-robust_gower-euclidean_w-balanced,k=3 kn=15 cat=probability num=interpolation tgt=interpolation scale=robust gower/euclidean/gower/balanced,estimated_salary,numeric,3,15,probability,interpolation,interpolation,,robust,1.0,1.0,balanced,gower,euclidean,hamming,3,42,72.609,7.75,7180,1.0,1.0,0.0051,0.0254,0.01531,0.0,0.0251,0.0143,0.0616,,,,,,,1.9722,-0.0036,-0.0071,0.9983,57559.5957,57658.7246,,True,0.6938,0.746,1.48525,0.9144,0.8952,18
035_k3_kn15_cat-probability_num-weighted_mean_tgt-weighted_mean_scale-robust_weighted_sum-euclidean-cat-jaccard_w-balanced,k=3 kn=15 cat=probability num=weighted_mean tgt=weighted_mean scale=robust weighted_sum/euclidean/jaccard/balanced,estimated_salary,numeric,3,15,probability,weighted_mean,weighted_mean,,robust,1.0,1.0,balanced,weighted_sum,euclidean,jaccard,3,42,52.447,7.73,7180,1.0,0.8889,0.0204,0.0364,0.02637,0.0,0.0657,0.0249,0.1298,,,,,,,2.9444,-0.0036,-0.0106,0.9965,57559.5957,57761.0746,,False,0.4726,0.636,1.97045,0.8303,0.8165,19
