customer_id,credit_score,country,gender,age,tenure,balance,products_number,credit_card,active_member,estimated_salary,churn
15634602,660,France,Female,43,2,0.0,1,1,1,104820.6819488191,1
15647311,616,France,Female,40,2,90904.22576284273,1,0,1,98538.66096851416,0
15619304,500,France,Female,39,8,157204.61872527708,2,1,0,113419.34295755344,1
15701354,695,France,Female,39,1,0.0,2,0,0,102300.14485841613,0
15737888,850,France,Female,45,2,133920.9908430996,1,1,1,121682.53632304608,0
15574012,637,Spain,Male,42,7,126602.36855783188,2,1,0,47986.53452937844,0
15592531,822,France,Male,50,7,0.0,2,1,1,10062.8,0
15656148,435,Germany,Male,31,6,117526.07600545822,3,1,0,47519.78922776085,1
15792365,510,France,Male,47,7,136929.46323008108,2,0,1,95970.02472601602,0
15592389,694,France,Male,28,2,131562.13567616258,1,1,1,129292.0592744517,0
15767821,561,France,Male,36,5,110994.05775674139,2,0,0,167735.65911672314,0
15737173,496,Spain,Male,25,2,0.0,2,1,0,69989.73131899191,0
15632264,479,France,Female,34,10,0.0,2,1,0,46439.392880675136,0
15691483,549,France,Female,25,5,0.0,2,0,0,190857.79,0
15600882,636,Spain,Female,36,7,0.0,2,1,1,79915.42360295645,0
15643966,616,Germany,Male,45,3,143129.41,2,0,1,64327.26,0
15737452,647,Germany,Male,54,1,129328.14671930975,1,1,0,109121.47114695559,1
15788218,595,Spain,Female,25,8,0.0,2,1,1,105757.25468832497,0
15661507,598,Spain,Male,39,5,49229.85072206038,1,0,0,94822.22111458804,0
15568982,726,France,Female,24,6,0.0,2,1,1,54724.03,0
15577657,732,France,Male,37,7,0.0,2,1,1,137183.71880247316,0
15597945,636,Spain,Female,32,8,0.0,2,1,0,138555.46,0
15699309,607,Spain,Female,37,4,0.0,1,1,0,32108.786308034567,1
15725737,669,France,Male,46,3,0.0,2,0,1,8487.75,0
15625047,846,France,Female,38,5,0.0,1,1,1,187616.16,0
15738191,552,France,Male,28,3,0.0,2,0,1,33707.39629650314,0
15736816,768,Germany,Male,32,1,128658.30392360728,1,1,1,109473.54123614922,0
15700772,487,France,Male,44,10,0.0,2,0,0,148213.40970874624,0
15728693,608,France,Female,42,3,128340.25664025695,1,1,1,127703.40549428701,0
15656300,432,France,Male,32,1,35857.27023954723,2,1,1,60678.148288141005,0
15589475,613,Spain,Female,40,3,0.0,3,1,0,63487.96062290981,1
