feature_1,feature_2,real_corr,synthetic_corr,abs_corr_diff
credit_score,age,-0.004,-0.007,0.003
credit_score,tenure,0.0008,0.0009,0.0001
credit_score,balance,0.0063,0.0105,0.0043
credit_score,products_number,0.0122,0.0061,0.0061
credit_score,credit_card,-0.0055,-0.0059,0.0005
credit_score,active_member,0.0257,0.0219,0.0037
credit_score,churn,-0.0271,-0.0249,0.0022
age,tenure,-0.01,-0.0222,0.0122
age,balance,0.0283,0.037,0.0087
age,products_number,-0.0307,-0.093,0.0623
age,credit_card,-0.0117,0.0122,0.024
age,active_member,0.0855,0.0811,0.0043
age,churn,0.2853,0.3087,0.0234
tenure,balance,-0.0123,-0.0075,0.0047
tenure,products_number,0.0134,0.0191,0.0056
tenure,credit_card,0.0226,0.0308,0.0082
tenure,active_member,-0.0284,-0.0388,0.0105
tenure,churn,-0.014,-0.0152,0.0012
balance,products_number,-0.3042,-0.3646,0.0604
balance,credit_card,-0.0149,0.0093,0.0241
balance,active_member,-0.0101,-0.0192,0.0091
balance,churn,0.1185,0.1222,0.0036
products_number,credit_card,0.0032,-0.0217,0.0249
products_number,active_member,0.0096,0.0395,0.0299
products_number,churn,-0.0478,-0.1905,0.1427
credit_card,active_member,-0.0119,-0.0122,0.0004
credit_card,churn,-0.0071,0.0421,0.0492
active_member,churn,-0.1561,-0.2221,0.066
