label,column,metric,actual,synthetic,drift
estimated_salary,country,cramers_v,0.9999,1.0,0.0001
estimated_salary,gender,cramers_v,1.0,1.0,0.0
estimated_salary,credit_score,correlation,-0.0014,0.0508,0.0521
estimated_salary,age,correlation,-0.0072,-0.0442,0.037
estimated_salary,tenure,correlation,0.0078,0.0493,0.0415
estimated_salary,balance,correlation,0.0128,0.0563,0.0435
estimated_salary,products_number,correlation,0.0142,-0.0008,0.015
estimated_salary,credit_card,correlation,-0.0099,-0.0088,0.0011
estimated_salary,active_member,correlation,-0.0114,-0.0477,0.0362
estimated_salary,churn,correlation,0.0121,-0.0251,0.0372
