feature_1,feature_2,real_corr,synthetic_corr,abs_corr_diff
credit_score,age,-0.004,-0.0087,0.0048
credit_score,tenure,0.0008,0.0004,0.0004
credit_score,balance,0.0063,0.0105,0.0042
credit_score,products_number,0.0122,0.0039,0.0084
credit_score,credit_card,-0.0055,-0.002,0.0035
credit_score,active_member,0.0257,0.0261,0.0004
credit_score,churn,-0.0271,-0.0165,0.0106
age,tenure,-0.01,-0.0222,0.0122
age,balance,0.0283,0.036,0.0077
age,products_number,-0.0307,-0.0908,0.0601
age,credit_card,-0.0117,0.0094,0.0211
age,active_member,0.0855,0.0833,0.0022
age,churn,0.2853,0.3094,0.0241
tenure,balance,-0.0123,-0.0084,0.0039
tenure,products_number,0.0134,0.0187,0.0052
tenure,credit_card,0.0226,0.0249,0.0023
tenure,active_member,-0.0284,-0.0363,0.0079
tenure,churn,-0.014,-0.0204,0.0064
balance,products_number,-0.3042,-0.3682,0.0641
balance,credit_card,-0.0149,0.0002,0.0151
balance,active_member,-0.0101,-0.0183,0.0082
balance,churn,0.1185,0.1215,0.003
products_number,credit_card,0.0032,-0.0165,0.0197
products_number,active_member,0.0096,0.0364,0.0268
products_number,churn,-0.0478,-0.19,0.1422
credit_card,active_member,-0.0119,-0.0168,0.0049
credit_card,churn,-0.0071,0.0431,0.0503
active_member,churn,-0.1561,-0.2235,0.0673
