label,column,metric,actual,synthetic,drift
estimated_salary,country,cramers_v,0.9999,1.0,0.0001
estimated_salary,gender,cramers_v,1.0,1.0,0.0
estimated_salary,credit_score,correlation,-0.0014,0.0517,0.0531
estimated_salary,age,correlation,-0.0072,-0.0456,0.0384
estimated_salary,tenure,correlation,0.0078,0.054,0.0463
estimated_salary,balance,correlation,0.0128,0.0536,0.0408
estimated_salary,products_number,correlation,0.0142,0.0003,0.0139
estimated_salary,credit_card,correlation,-0.0099,-0.0045,0.0054
estimated_salary,active_member,correlation,-0.0114,-0.0499,0.0385
estimated_salary,churn,correlation,0.0121,-0.0298,0.0419
