label,column,metric,actual,synthetic,drift
estimated_salary,country,cramers_v,0.9999,0.9996,0.0003
estimated_salary,gender,cramers_v,1.0,0.9997,0.0003
estimated_salary,credit_score,correlation,-0.0014,0.0097,0.0111
estimated_salary,age,correlation,-0.0072,-0.0358,0.0286
estimated_salary,tenure,correlation,0.0078,0.0182,0.0104
estimated_salary,balance,correlation,0.0128,0.0308,0.018
estimated_salary,products_number,correlation,0.0142,0.0096,0.0046
estimated_salary,credit_card,correlation,-0.0099,-0.021,0.011
estimated_salary,active_member,correlation,-0.0114,-0.0298,0.0184
estimated_salary,churn,correlation,0.0121,-0.0079,0.02
