label,column,metric,actual,synthetic,drift
estimated_salary,country,cramers_v,0.9999,0.9995,0.0004
estimated_salary,gender,cramers_v,1.0,0.9996,0.0004
estimated_salary,credit_score,correlation,-0.0014,0.0129,0.0143
estimated_salary,age,correlation,-0.0072,-0.0273,0.0201
estimated_salary,tenure,correlation,0.0078,0.0261,0.0183
estimated_salary,balance,correlation,0.0128,0.0285,0.0157
estimated_salary,products_number,correlation,0.0142,0.0021,0.0121
estimated_salary,credit_card,correlation,-0.0099,-0.0064,0.0035
estimated_salary,active_member,correlation,-0.0114,-0.0316,0.0202
estimated_salary,churn,correlation,0.0121,-0.0125,0.0246
