categorical_column,numerical_column,common_category_count,normalised_group_mean_diff
country,credit_score,3,0.0283
country,age,3,0.0986
country,tenure,3,0.0533
country,balance,3,0.0944
country,products_number,3,0.0642
country,credit_card,3,0.0817
country,active_member,3,0.0908
country,churn,3,0.1184
gender,credit_score,2,0.0012
gender,age,2,0.0484
gender,tenure,2,0.0292
gender,balance,2,0.0068
gender,products_number,2,0.0453
gender,credit_card,2,0.0321
gender,active_member,2,0.0278
gender,churn,2,0.1131
