column,type,actual_mean,synthetic_mean,actual_std,synthetic_std,mean_diff_pct,actual_category_count,synthetic_category_count,actual_top_category_pct,synthetic_top_category_pct
credit_score,numerical,650.5288,650.1807,96.6533,92.3018,0.05,,,,
age,numerical,38.9218,38.8016,10.4878,9.9962,0.31,,,,
tenure,numerical,5.0128,5.0098,2.8922,2.7449,0.06,,,,
balance,numerical,76485.8893,75860.8092,62397.4052,60575.1747,0.82,,,,
products_number,numerical,1.5302,1.507,0.5817,0.5338,1.52,,,,
credit_card,numerical,0.7055,0.7463,0.4558,0.4351,5.78,,,,
active_member,numerical,0.5151,0.5097,0.4998,0.4999,1.05,,,,
churn,numerical,0.2037,0.1597,0.4028,0.3663,21.6,,,,
estimated_salary,target_numeric,100090.2399,99046.5419,57510.4928,50123.2895,1.04,,,,
country,categorical,,,,,,3.0,3.0,50.14,53.32
gender,categorical,,,,,,2.0,2.0,54.57,55.51
