categorical_column,numerical_column,common_category_count,normalised_group_mean_diff
country,credit_score,3,0.005
country,age,3,0.0129
country,tenure,3,0.0161
country,balance,3,0.0058
country,products_number,3,0.041
country,credit_card,3,0.1216
country,active_member,3,0.0394
country,churn,3,0.0897
gender,credit_score,2,0.0008
gender,age,2,0.0141
gender,tenure,2,0.0086
gender,balance,2,0.0136
gender,products_number,2,0.0412
gender,credit_card,2,0.0974
gender,active_member,2,0.0143
gender,churn,2,0.0979
