feature_1,feature_2,real_corr,synthetic_corr,abs_corr_diff
credit_score,age,-0.004,-0.0029,0.0011
credit_score,tenure,0.0008,-0.0005,0.0014
credit_score,balance,0.0063,0.0105,0.0042
credit_score,products_number,0.0122,0.005,0.0072
credit_score,credit_card,-0.0055,-0.0034,0.0021
credit_score,active_member,0.0257,0.0218,0.0038
credit_score,churn,-0.0271,-0.0204,0.0067
age,tenure,-0.01,-0.0135,0.0036
age,balance,0.0283,0.0313,0.003
age,products_number,-0.0307,-0.0892,0.0586
age,credit_card,-0.0117,0.0273,0.039
age,active_member,0.0855,0.0881,0.0026
age,churn,0.2853,0.3103,0.025
tenure,balance,-0.0123,-0.0031,0.0092
tenure,products_number,0.0134,0.028,0.0145
tenure,credit_card,0.0226,0.0257,0.0031
tenure,active_member,-0.0284,-0.0417,0.0133
tenure,churn,-0.014,-0.0141,0.0001
balance,products_number,-0.3042,-0.3525,0.0483
balance,credit_card,-0.0149,-0.005,0.0098
balance,active_member,-0.0101,-0.0149,0.0048
balance,churn,0.1185,0.1096,0.009
products_number,credit_card,0.0032,-0.0044,0.0076
products_number,active_member,0.0096,0.0308,0.0212
products_number,churn,-0.0478,-0.1789,0.1311
credit_card,active_member,-0.0119,-0.0153,0.0034
credit_card,churn,-0.0071,0.0371,0.0443
active_member,churn,-0.1561,-0.2229,0.0667
