feature_1,feature_2,real_corr,synthetic_corr,abs_corr_diff
credit_score,age,-0.004,-0.0092,0.0052
credit_score,tenure,0.0008,0.0027,0.0019
credit_score,balance,0.0063,0.0116,0.0053
credit_score,products_number,0.0122,0.0073,0.0049
credit_score,credit_card,-0.0055,-0.0026,0.0029
credit_score,active_member,0.0257,0.0282,0.0025
credit_score,churn,-0.0271,-0.0179,0.0092
age,tenure,-0.01,-0.0225,0.0125
age,balance,0.0283,0.0375,0.0092
age,products_number,-0.0307,-0.0916,0.0609
age,credit_card,-0.0117,0.0069,0.0187
age,active_member,0.0855,0.0798,0.0057
age,churn,0.2853,0.3118,0.0265
tenure,balance,-0.0123,-0.0071,0.0052
tenure,products_number,0.0134,0.0169,0.0035
tenure,credit_card,0.0226,0.0257,0.0031
tenure,active_member,-0.0284,-0.0362,0.0079
tenure,churn,-0.014,-0.0182,0.0042
balance,products_number,-0.3042,-0.3724,0.0683
balance,credit_card,-0.0149,0.0035,0.0184
balance,active_member,-0.0101,-0.0186,0.0085
balance,churn,0.1185,0.1231,0.0046
products_number,credit_card,0.0032,-0.0223,0.0255
products_number,active_member,0.0096,0.0367,0.027
products_number,churn,-0.0478,-0.1931,0.1453
credit_card,active_member,-0.0119,-0.0128,0.001
credit_card,churn,-0.0071,0.0384,0.0455
active_member,churn,-0.1561,-0.2201,0.0639
