feature_1,feature_2,real_corr,synthetic_corr,abs_corr_diff
credit_score,age,-0.004,-0.0058,0.0019
credit_score,tenure,0.0008,0.0002,0.0007
credit_score,balance,0.0063,0.0061,0.0002
credit_score,products_number,0.0122,0.007,0.0053
credit_score,credit_card,-0.0055,-0.0008,0.0047
credit_score,active_member,0.0257,0.0277,0.0021
credit_score,churn,-0.0271,-0.0141,0.013
age,tenure,-0.01,-0.0124,0.0024
age,balance,0.0283,0.0309,0.0026
age,products_number,-0.0307,-0.0892,0.0585
age,credit_card,-0.0117,0.0255,0.0372
age,active_member,0.0855,0.0896,0.0041
age,churn,0.2853,0.3138,0.0285
tenure,balance,-0.0123,-0.0082,0.004
tenure,products_number,0.0134,0.0236,0.0101
tenure,credit_card,0.0226,0.0216,0.001
tenure,active_member,-0.0284,-0.0362,0.0078
tenure,churn,-0.014,-0.0193,0.0053
balance,products_number,-0.3042,-0.3567,0.0525
balance,credit_card,-0.0149,-0.0152,0.0003
balance,active_member,-0.0101,-0.0155,0.0054
balance,churn,0.1185,0.1167,0.0018
products_number,credit_card,0.0032,-0.004,0.0072
products_number,active_member,0.0096,0.0345,0.0249
products_number,churn,-0.0478,-0.1753,0.1275
credit_card,active_member,-0.0119,-0.0173,0.0054
credit_card,churn,-0.0071,0.0433,0.0504
active_member,churn,-0.1561,-0.2246,0.0685
