customer_id,credit_score,country,gender,age,tenure,balance,products_number,credit_card,active_member,estimated_salary,churn
15634602,591,France,Female,42,1,0.0,1,1,1,140938.8308022351,1
15647311,620,Germany,Female,42,2,83091.41029290027,2,0,1,136930.66786094263,0
15619304,520,France,Male,40,8,155177.01499623762,3,1,0,113458.1772444449,1
15701354,695,France,Female,39,1,0.0,2,0,0,102300.14485841613,0
15737888,850,France,Female,40,2,131508.83855747135,1,1,1,103613.02807261371,0
15574012,644,Germany,Male,44,8,128740.2366041615,1,1,0,67663.42161611914,1
15592531,822,France,Male,50,7,0.0,2,1,1,10062.8,0
15656148,435,France,Male,31,6,117526.07600545822,3,1,0,109905.4076933353,1
15792365,536,France,Male,45,4,131334.9864622131,2,0,1,66844.29593769285,0
15592389,682,France,Male,28,2,139223.84530126295,1,1,1,80885.14743135922,0
15767821,550,France,Female,33,6,124705.23628517959,2,0,0,141453.86756162983,0
15737173,490,France,Female,25,3,0.0,2,1,0,149910.4246326183,0
15632264,479,France,Male,34,10,0.0,2,1,0,69209.78882018293,0
15691483,549,France,Female,25,5,0.0,2,0,0,190857.79,0
15600882,636,Spain,Female,36,7,0.0,2,1,1,66104.77635601292,0
15643966,616,Germany,Male,45,3,143129.41,2,0,1,64327.26,0
15737452,639,France,Female,60,1,129279.45626113318,1,1,0,81422.04892592224,1
15788218,547,France,Female,26,8,0.0,2,1,1,52627.9949243729,0
15661507,599,France,Male,36,7,0.0,1,0,0,39446.187710107675,0
15568982,726,France,Female,24,6,0.0,2,1,1,54724.03,0
15577657,738,France,Female,43,7,0.0,2,1,1,157902.73034785406,0
15597945,636,Spain,Female,32,8,0.0,2,1,0,138555.46,0
15699309,552,France,Female,40,4,0.0,1,1,0,98983.23820524382,1
15725737,669,France,Male,46,3,0.0,2,0,1,8487.75,0
15625047,846,France,Female,38,5,0.0,1,1,1,187616.16,0
15738191,600,France,Female,28,3,0.0,2,0,1,22307.23519889794,0
15736816,757,France,Female,35,1,148789.6357814977,1,1,1,69085.30280736792,0
15700772,487,France,Male,44,10,0.0,2,0,0,148213.40970874624,0
15728693,559,France,Female,46,3,140304.90511053696,1,1,1,125253.39664757618,0
15656300,465,France,Female,27,0,35857.27023954723,2,1,1,40872.86975903599,0
15589475,599,France,Female,39,3,0.0,3,1,0,84285.53907387688,1
15706552,523,France,Female,37,7,87116.75955470996,1,0,1,73729.09123788482,0
15750181,530,France,Female,43,9,112186.06058861512,2,0,0,124646.39404494288,0
15659428,518,France,Female,41,6,0.0,2,1,1,48934.60363756104,0
15732963,694,France,Female,29,9,0.0,2,1,1,82574.54778628488,0
15794171,481,France,Female,47,0,133154.46405487353,1,1,0,83845.1292627113,1
15788448,471,Spain,Female,28,1,130121.09591449406,1,0,1,46505.68371808717,0
15729599,791,France,Male,33,6,90622.4060463469,1,0,1,84456.83731905969,0
15717426,850,France,Male,36,7,0.0,1,1,1,40812.9,0
15585768,631,France,Female,42,7,49054.22225340574,2,0,1,105802.07960586267,0
15619360,472,Spain,Male,40,4,0.0,1,1,0,70154.22,0
15738148,522,Spain,Male,52,8,123214.96833413035,1,0,0,65337.39110556348,1
15687946,556,France,Female,61,2,117419.35,1,1,1,94153.83,0
15755196,834,France,Female,49,2,131394.56,1,0,0,194365.76,1
15684171,660,Spain,Female,61,5,155931.11,1,1,1,158338.39,0
15754849,793,France,Female,32,4,106657.8683965439,2,1,1,89192.33855543449,0
15602280,824,France,Female,27,8,121681.26947576256,1,1,1,106800.41164989007,1
15771573,638,Germany,Female,39,8,135951.43769082852,1,1,1,110910.18728346573,1
15766205,539,France,Female,37,2,111538.61536161973,1,0,1,102346.71226915956,0
15771873,791,France,Female,38,2,156441.64081119467,2,1,0,45931.18872437199,0
15616550,695,Germany,Male,44,10,98584.05945622704,2,1,0,70089.267933034,0
15768193,585,Germany,Male,36,5,146050.97,2,0,0,86424.57,0
15683553,758,France,Male,33,5,0.0,2,0,0,73997.375113251,0
15702298,651,Germany,Female,41,8,142905.6127071604,1,0,0,144875.79018939906,1
15569590,601,Germany,Male,42,1,98495.72,1,1,0,40014.76,1
15760861,619,France,Male,43,1,125211.92,1,1,1,113410.49,0
15630053,661,France,Male,45,6,137298.00325324183,1,1,0,119970.51393525714,0
15647091,740,Spain,Male,23,1,76302.09694275027,1,0,0,181960.0177771732,0
15623944,517,France,Female,62,5,23760.710408516054,1,1,0,64266.43938491251,1
15804771,620,France,Female,48,3,13768.044335614337,1,1,1,129121.96807277056,0
15651280,722,France,Female,36,6,115515.16922421951,1,0,0,115875.64505594004,0
15773469,667,France,Male,28,8,151227.70317099176,2,0,0,146167.19308965912,0
15702014,539,Spain,Male,34,2,23517.86258474129,2,0,0,78032.46863105989,0
15751208,684,Spain,Male,56,8,78707.16,1,1,1,99398.36,0
15592461,603,Germany,Male,26,4,109166.37,1,1,1,92840.67,0
15789484,706,Germany,Female,36,6,171753.27658716278,2,1,1,73799.34646397928,0
15696061,575,France,Female,33,1,96355.3281475389,1,1,0,96087.80000363268,0
15641582,771,Germany,Male,43,9,116877.8765067368,2,1,1,147013.2881640845,0
15638424,675,France,Female,41,3,148242.77381528172,2,0,1,81545.26599271076,0
15755648,686,France,Female,24,8,120273.49690758588,1,1,0,114850.63382215769,0
15703793,740,Germany,Male,50,4,133988.86303586588,3,1,0,42327.93817381701,1
15620344,813,France,Male,29,6,0.0,1,1,0,33953.87,0
15812518,712,France,Female,39,2,160601.57221933757,1,0,1,99898.60762023587,0
15779052,613,Spain,Female,25,4,145012.5045801502,2,1,1,75223.9615604084,0
15770811,519,France,Male,36,9,0.0,2,0,1,145562.4,0
15780961,735,France,Female,21,1,178718.19,2,1,0,22388.0,0
15614049,664,France,Male,55,8,0.0,2,1,1,139161.64,0
15662085,681,Spain,Male,31,9,0.0,1,1,1,126588.17794690475,0
15575185,702,Spain,Male,35,5,78168.156168071,1,0,1,129815.99893495777,0
15803136,473,France,Female,40,9,134616.72440888296,2,1,0,113027.49937366905,0
15706021,633,Spain,Male,33,1,60072.43811809507,2,0,0,39009.79562450292,0
15663706,772,Spain,Female,31,3,0.0,1,1,0,74321.21616294819,1
15641732,546,France,Male,35,4,0.0,2,0,0,97392.67686859501,0
15701164,511,Germany,Male,34,4,120966.44716999828,1,1,1,163478.84755728638,0
15738751,524,France,Male,44,5,0.0,2,1,0,91094.46230114615,0
15805254,662,France,Female,71,9,0.0,2,1,1,146944.78788214768,0
15762418,736,France,Female,27,2,116912.69072628097,1,1,0,102067.66963835577,1
15625759,733,France,Female,30,9,0.0,2,1,0,70179.57188663514,0
15622897,640,France,Female,44,2,0.0,2,1,0,47031.6726914886,1
15767954,623,Germany,Female,28,3,86273.24409613435,2,1,1,45957.81579985698,0
15757535,647,France,Female,44,6,0.0,3,1,1,27317.992389311952,0
15731511,811,France,Male,45,5,116496.94070417291,2,1,0,146970.3043708098,0
15809248,535,France,Male,36,8,0.0,2,1,0,21530.97084388143,0
15640635,769,France,Male,29,8,0.0,2,1,1,172290.61,0
15676966,727,France,Female,42,4,0.0,2,0,1,144284.05027492502,0
15699461,496,France,Female,36,9,106181.08309483851,1,0,1,98922.31262115829,0
15738721,771,France,Female,40,9,107186.45200119275,1,0,1,36879.829001930724,0
15693683,826,Spain,Male,28,8,99449.87174089324,2,1,1,99350.76880398802,0
15604348,718,France,Female,23,8,0.0,2,0,0,171410.73392479806,0
15633059,432,France,Female,34,9,0.0,2,0,0,100276.98705954528,0
15808582,665,France,Female,40,6,0.0,1,1,1,161848.03,0
15743192,587,France,Male,41,5,0.0,2,0,0,93415.4096579897,0
15580146,738,France,Male,31,9,82674.15,1,1,0,41970.72,0
15776605,524,Spain,Female,35,7,0.0,2,1,0,101854.04130882869,0
15804919,688,France,Female,63,1,0.0,1,1,0,115906.22915926891,1
15613854,615,France,Female,44,4,115557.43294935957,2,1,1,119788.24021807505,1
15599195,607,France,Female,32,1,89165.17839802013,1,1,1,159550.62198928875,0
