label,column,metric,actual,synthetic,drift
estimated_salary,country,cramers_v,0.9999,1.0,0.0001
estimated_salary,gender,cramers_v,1.0,1.0,0.0
estimated_salary,credit_score,correlation,-0.0014,0.0341,0.0354
estimated_salary,age,correlation,-0.0072,-0.0531,0.0459
estimated_salary,tenure,correlation,0.0078,0.0419,0.0341
estimated_salary,balance,correlation,0.0128,0.0329,0.0201
estimated_salary,products_number,correlation,0.0142,0.0279,0.0137
estimated_salary,credit_card,correlation,-0.0099,-0.0188,0.0088
estimated_salary,active_member,correlation,-0.0114,-0.0581,0.0467
estimated_salary,churn,correlation,0.0121,-0.0272,0.0393
