customer_id,credit_score,country,gender,age,tenure,balance,products_number,credit_card,active_member,estimated_salary,churn
15634602,660,France,Female,43,2,0.0,1,1,1,128461.67320347833,1
15647311,605,Spain,Female,41,1,117164.2356921488,1,0,1,120624.42687642729,0
15619304,500,France,Male,39,8,145088.1710222523,3,1,0,116394.98893226395,1
15701354,683,France,Female,38,1,0.0,2,0,0,96795.30256772306,0
15737888,775,Spain,Female,40,2,126120.59623740538,1,1,1,143840.9736892903,0
15574012,625,Spain,Male,41,8,125861.4637988245,2,1,0,143722.9545983792,1
15592531,822,France,Male,50,7,0.0,2,1,1,10062.8,0
15656148,432,Germany,Female,28,3,139229.3143473491,2,1,0,119237.48437801497,1
15792365,540,France,Male,41,3,127854.11694659281,2,0,1,57475.91086234984,0
15592389,697,France,Male,28,3,130507.72215728319,1,1,1,107814.86195908766,0
15767821,603,France,Male,35,6,110038.82388876846,2,0,0,84072.01487774002,0
15737173,497,Spain,Male,27,3,0.0,2,1,0,66261.43525675558,0
15632264,502,France,Female,30,9,0.0,2,1,0,29243.02969422311,0
15691483,549,France,Female,25,5,0.0,2,0,0,190857.79,0
15600882,639,Spain,Female,35,6,0.0,2,1,1,73315.4911139151,0
15643966,616,Germany,Male,45,3,143129.41,2,0,1,64327.26,0
15737452,631,Germany,Male,55,2,118912.12623221759,1,1,0,31971.922542498898,1
15788218,570,Spain,Female,29,7,0.0,2,1,1,29296.70060452941,0
15661507,596,Spain,Male,44,4,21404.175877486035,1,0,0,154241.6018578899,0
15568982,726,France,Female,24,6,0.0,2,1,1,54724.03,0
15577657,729,France,Male,41,8,0.0,2,1,1,148899.6748651963,0
15597945,636,Spain,Female,32,8,0.0,2,1,0,138555.46,0
15699309,540,Spain,Female,37,6,25032.469569967958,1,1,0,108489.48827323329,1
15725737,669,France,Male,46,3,0.0,2,0,1,8487.75,0
15625047,846,France,Female,38,5,0.0,1,1,1,187616.16,0
15738191,593,France,Male,26,3,0.0,2,0,1,34338.03581241905,0
15736816,747,Germany,Male,35,3,113008.61267850336,1,1,1,177544.34845704786,0
15700772,587,France,Male,44,10,0.0,2,0,0,77490.36832272416,0
15728693,580,Germany,Female,41,3,142435.11918436643,1,1,1,153991.16746254038,0
15656300,432,France,Male,33,0,45059.49987006934,2,1,1,37413.72965212921,0
15589475,595,Spain,Female,42,3,0.0,2,1,0,85134.51200580566,0
15706552,536,France,Male,34,7,88772.0165586338,1,0,1,138730.48262349662,0
15750181,536,France,Male,42,9,96232.53111748719,2,0,0,82084.12712514326,0
15659428,524,Spain,Female,40,6,0.0,2,1,1,83664.68100471838,0
15732963,702,Spain,Female,26,8,0.0,2,1,1,133513.94349117932,0
15794171,502,France,Female,43,1,112007.7948516945,1,1,0,32907.81419708824,1
15788448,559,France,Male,30,3,134772.77780957136,1,0,1,122612.99213077145,0
15729599,797,Spain,Male,34,6,144402.1522966384,1,0,1,44891.830886329306,0
15717426,850,France,Male,36,7,0.0,1,1,1,40812.9,0
15585768,589,Germany,Male,43,4,78343.7838942276,2,0,1,176567.3146187083,0
15619360,472,Spain,Male,40,4,0.0,1,1,0,70154.22,0
15738148,458,France,Female,59,7,106628.76869907544,1,0,0,168472.28577826364,1
15687946,556,France,Female,61,2,117419.35,1,1,1,94153.83,0
15755196,834,France,Female,49,2,131394.56,1,0,0,194365.76,1
15684171,660,Spain,Female,61,5,155931.11,1,1,1,158338.39,0
15754849,765,Germany,Female,33,5,114194.76770371383,2,1,1,168666.74237800637,0
15602280,830,France,Female,28,9,127573.61880395703,1,1,1,89209.9322159519,1
15771573,627,Germany,Female,39,9,142133.15365744272,1,1,0,83214.24555658705,1
15766205,558,France,Male,37,2,120190.10926619207,1,1,1,49152.99303699098,0
15771873,804,Germany,Female,45,2,109497.160830076,2,1,0,181664.1933588629,0
15616550,683,Germany,Male,44,9,108029.13940624063,2,1,0,155354.03074956615,0
15768193,585,Germany,Male,36,5,146050.97,2,0,0,86424.57,0
15683553,750,France,Female,32,6,0.0,2,0,0,95751.03138811761,0
15702298,627,Germany,Male,42,8,128310.27353253504,1,0,0,164782.0893166872,1
15569590,601,Germany,Male,42,1,98495.72,1,1,0,40014.76,1
15760861,619,France,Male,43,1,125211.92,1,1,1,113410.49,0
15630053,666,France,Male,45,5,143256.8470940442,1,1,0,88769.93309644035,0
15647091,660,France,Male,22,2,96574.8316358749,1,1,0,66543.12023727002,0
15623944,506,France,Female,59,3,21640.187582684957,1,1,0,27437.975060300287,1
15804771,630,France,Male,52,4,27111.165961255625,1,1,1,123118.92372022594,0
15651280,731,Germany,Male,36,5,106957.7629349063,1,0,0,14100.439071008557,0
15773469,680,Germany,Female,32,9,139891.5081697683,2,0,0,140448.4037337319,0
15702014,575,Spain,Male,34,3,50148.03778903014,2,0,0,119405.08908091596,0
15751208,684,Spain,Male,56,8,78707.16,1,1,1,99398.36,0
15592461,603,Germany,Male,26,4,109166.37,1,1,1,92840.67,0
15789484,769,Germany,Female,37,9,131508.81576877608,2,1,1,72085.23402800545,0
15696061,586,Germany,Female,37,1,109953.58474418256,1,1,0,158683.5277521792,0
15641582,742,Germany,Male,38,8,107581.49603476911,2,1,1,118234.93522619348,0
15638424,642,Germany,Female,36,4,107906.9681355552,2,0,1,113646.04037873916,0
15755648,681,France,Female,24,8,120342.44354246726,1,1,0,37656.73495202724,0
15703793,723,Germany,Male,45,3,133263.78411870997,3,1,0,31126.862237993544,0
15620344,813,France,Male,29,6,0.0,1,1,0,33953.87,0
15812518,646,Spain,Female,39,0,157147.3795155881,1,0,1,135607.75266048705,0
15779052,602,Germany,Female,27,6,121918.92624959012,2,1,1,46368.31564868999,0
15770811,519,France,Male,36,9,0.0,2,0,1,145562.4,0
15780961,735,France,Female,21,1,178718.19,2,1,0,22388.0,0
