label,column,metric,actual,synthetic,drift
estimated_salary,country,cramers_v,0.9999,0.9993,0.0006
estimated_salary,gender,cramers_v,1.0,0.9994,0.0006
estimated_salary,credit_score,correlation,-0.0014,0.0142,0.0156
estimated_salary,age,correlation,-0.0072,-0.0269,0.0197
estimated_salary,tenure,correlation,0.0078,0.0275,0.0197
estimated_salary,balance,correlation,0.0128,0.029,0.0162
estimated_salary,products_number,correlation,0.0142,-0.0005,0.0147
estimated_salary,credit_card,correlation,-0.0099,-0.0058,0.0042
estimated_salary,active_member,correlation,-0.0114,-0.0301,0.0187
estimated_salary,churn,correlation,0.0121,-0.0106,0.0227
