customer_id,credit_score,country,gender,age,tenure,balance,products_number,credit_card,active_member,estimated_salary,churn
15634602,591,France,Female,42,1,0.0,1,1,1,100528.73748734366,1
15647311,617,Germany,Female,41,3,112245.76576497554,1,0,1,113125.72156450275,0
15619304,503,Germany,Male,38,9,123436.25377988812,3,1,0,109279.68958283069,1
15701354,683,France,Female,38,1,0.0,2,0,0,96795.30256772306,0
15737888,816,France,Female,44,2,118139.18697003173,1,1,1,134311.72034609562,0
15574012,641,Germany,Male,43,8,127876.03400600211,2,1,0,152305.41610201975,1
15592531,822,France,Male,50,7,0.0,2,1,1,10062.8,0
15656148,432,Germany,Male,32,5,122125.59094474689,2,1,0,90131.12678310355,1
15792365,506,France,Male,41,4,150334.81509220376,2,0,1,114799.43266304652,0
15592389,681,France,Male,28,2,140825.34541165346,1,1,1,66730.81677503107,0
15767821,568,France,Female,32,7,127709.05995765816,2,0,0,84361.07899749515,0
15737173,495,France,Female,26,3,0.0,2,1,0,107768.59926198954,0
15632264,487,France,Male,35,10,0.0,2,1,0,29716.22207690777,0
15691483,549,France,Female,25,5,0.0,2,0,0,190857.79,0
15600882,639,France,Female,35,6,0.0,2,1,1,73315.4911139151,0
15643966,616,Germany,Male,45,3,143129.41,2,0,1,64327.26,0
15737452,633,France,Female,56,1,155746.14747651672,1,1,0,17662.8958218074,1
15788218,597,France,Female,27,9,0.0,2,1,1,16854.40884481262,0
15661507,597,Spain,Female,43,8,0.0,1,0,0,110928.16590314898,0
15568982,726,France,Female,24,6,0.0,2,1,1,54724.03,0
15577657,732,France,Female,41,8,0.0,2,1,1,174811.4798714513,0
15597945,636,Spain,Female,32,8,0.0,2,1,0,138555.46,0
15699309,513,France,Female,38,2,43046.818512505706,1,1,0,130834.32773824444,1
15725737,669,France,Male,46,3,0.0,2,0,1,8487.75,0
15625047,846,France,Female,38,5,0.0,1,1,1,187616.16,0
15738191,579,France,Female,26,3,0.0,2,0,1,77034.77066276572,0
15736816,785,France,Female,36,1,145604.7894154404,1,1,1,123487.47593932734,0
15700772,587,France,Male,44,10,0.0,2,0,0,77490.36832272416,0
15728693,587,France,Female,43,3,139259.58468662086,1,1,1,124790.37942064501,0
15656300,465,France,Male,27,0,45059.49987006934,2,1,1,37413.72965212921,0
15589475,592,France,Female,41,3,0.0,2,1,0,109672.98498806053,0
15706552,510,France,Female,32,7,107381.59124128314,1,0,1,148312.73861089046,0
15750181,560,France,Male,36,9,103157.98693155246,2,0,0,82084.12712514326,0
15659428,513,France,Female,42,5,0.0,2,1,1,77779.52640303267,0
15732963,698,France,Female,30,9,0.0,2,1,1,131095.4965004791,0
15794171,483,Germany,Female,48,1,132256.82965120376,1,1,0,34660.023143295,1
15788448,490,France,Female,35,3,121686.20382295104,1,0,1,99939.88032209266,0
15729599,797,Spain,Female,34,6,144402.1522966384,1,0,1,44891.830886329306,0
15717426,850,France,Male,36,7,0.0,1,1,1,40812.9,0
15585768,595,France,Female,42,7,62622.14195610676,2,0,1,150824.5306911077,0
15619360,472,Spain,Male,40,4,0.0,1,1,0,70154.22,0
15738148,484,France,Male,54,9,113977.97864351323,1,0,0,168472.28577826364,1
15687946,556,France,Female,61,2,117419.35,1,1,1,94153.83,0
15755196,834,France,Female,49,2,131394.56,1,0,0,194365.76,1
15684171,660,Spain,Female,61,5,155931.11,1,1,1,158338.39,0
15754849,781,France,Female,32,4,106624.73279952446,2,1,1,147453.55033788225,0
15602280,827,Germany,Female,27,7,124795.32433000111,1,1,1,136882.20273129398,1
15771573,638,Germany,Female,39,9,134810.7777495106,1,1,0,102880.7880487686,1
15766205,568,France,Female,38,2,127609.63303885126,1,0,1,164111.7087771275,0
15771873,781,France,Female,41,2,106445.93081097782,2,1,0,157704.51748775167,0
15616550,683,Germany,Male,44,9,108029.13940624063,2,1,0,155354.03074956615,0
15768193,585,Germany,Male,36,5,146050.97,2,0,0,86424.57,0
15683553,755,Spain,Male,34,5,0.0,2,0,0,93452.28804234193,0
15702298,646,Germany,Male,42,8,132458.13611253147,1,0,0,165676.34824890294,1
15569590,601,Germany,Male,42,1,98495.72,1,1,0,40014.76,1
15760861,619,France,Male,43,1,125211.92,1,1,1,113410.49,0
15630053,666,France,Male,45,5,143256.8470940442,1,1,0,88769.93309644035,0
15647091,719,France,Male,24,1,91312.8520873452,1,0,0,69988.70149338616,0
15623944,506,France,Female,59,3,21640.187582684957,1,1,0,27437.975060300287,1
15804771,600,France,Female,50,4,48711.54283460138,1,1,1,97446.12494500523,0
15651280,705,France,Female,35,5,122834.6630506173,1,0,0,90300.0378558278,0
15773469,607,France,Male,29,9,148325.81765624936,2,0,0,141739.16923233966,0
15702014,545,Spain,Male,34,3,50148.03778903014,2,0,0,119405.08908091596,0
15751208,684,Spain,Male,56,8,78707.16,1,1,1,99398.36,0
15592461,603,Germany,Male,26,4,109166.37,1,1,1,92840.67,0
15789484,733,France,Female,33,7,126470.9960679764,2,1,1,172766.1345556893,0
15696061,591,France,Female,34,1,106482.64343314918,1,1,0,136879.47028244782,0
15641582,758,Germany,Female,41,8,108861.19562765087,2,1,1,160538.38583816975,0
15638424,677,France,Female,35,5,172717.26571662916,2,0,1,111416.15585117489,0
15755648,684,France,Female,23,8,99779.14129243401,1,1,0,37563.70912109027,0
15703793,723,Germany,Male,45,3,133263.78411870997,3,1,0,31126.862237993544,0
15620344,813,France,Male,29,6,0.0,1,1,0,33953.87,0
15812518,664,Spain,Female,33,0,158770.93768683728,1,0,1,76374.30673635786,0
15779052,615,Spain,Female,25,5,140834.04810753322,2,1,1,65692.85146656356,0
15770811,519,France,Male,36,9,0.0,2,0,1,145562.4,0
15780961,735,France,Female,21,1,178718.19,2,1,0,22388.0,0
15614049,664,France,Male,55,8,0.0,2,1,1,139161.64,0
15662085,695,France,Male,31,9,0.0,1,1,1,170011.17937627767,0
15575185,771,France,Female,33,6,137899.04136270777,1,0,1,192594.41344757,0
15803136,438,Germany,Female,41,9,122325.05807213172,2,1,0,106714.79556728146,0
15706021,665,France,Male,35,1,97121.57041411666,2,0,0,75348.02850951072,0
15663706,763,Spain,Female,29,2,0.0,1,1,0,130155.10079902085,0
15641732,541,Spain,Male,36,3,0.0,2,0,0,25941.45924138526,0
15701164,530,France,Male,34,4,91405.52394532067,1,1,1,163595.76273466958,0
15738751,504,France,Male,46,4,0.0,2,1,0,55416.74806452387,0
15805254,660,France,Female,72,9,0.0,2,1,1,99895.74168304901,0
15762418,789,France,Female,25,3,128234.97136938678,1,1,0,105889.46159863533,0
15625759,735,France,Female,30,9,0.0,2,1,0,36131.95807512564,0
15622897,647,France,Female,44,4,0.0,2,1,0,31803.28322829886,1
15767954,633,France,Female,30,3,110064.4111632594,2,1,1,58781.969013993454,0
15757535,673,France,Female,43,5,0.0,2,1,1,91164.98298497527,1
15731511,788,France,Male,42,8,103736.92370800271,2,1,0,149480.08570189282,0
15809248,502,France,Male,36,10,0.0,2,1,0,86238.18574893882,0
15640635,769,France,Male,29,8,0.0,2,1,1,172290.61,0
15676966,726,France,Female,39,3,0.0,2,0,1,159919.13068661848,0
15699461,530,France,Female,36,9,157510.4204953079,1,0,1,130268.47932897547,0
15738721,771,France,Female,40,9,115151.81866179201,1,1,1,61886.33979963583,0
15693683,826,Germany,Female,28,8,99088.73151806778,2,1,1,168047.63972920162,0
15604348,716,France,Female,28,9,0.0,2,0,0,106385.40644302554,0
15633059,473,France,Male,33,9,0.0,2,0,0,48276.49003128254,0
15808582,665,France,Female,40,6,0.0,1,1,1,161848.03,0
15743192,622,France,Male,43,5,0.0,2,0,0,162436.71075967653,0
15580146,738,France,Male,31,9,82674.15,1,1,0,41970.72,0
15776605,517,Spain,Male,37,7,0.0,2,1,0,74470.64432493296,0
15804919,683,France,Female,61,2,0.0,1,1,1,99885.54372930189,1
15613854,616,France,Female,44,4,121978.35930187492,2,1,1,120976.45164916114,0
15599195,599,France,Female,32,1,98119.89230538145,1,1,1,70261.80992522374,0
15812878,774,France,Female,36,3,104616.35033506868,1,0,1,55751.25497131609,0
15602312,611,France,Female,34,6,129417.30503836994,1,0,0,61431.281362230744,0
15744689,482,Spain,Male,34,9,115052.73459494696,1,1,0,92313.09548885009,0
15803526,673,France,Female,29,2,86127.45182388536,1,0,1,73165.73180741623,0
15665790,510,France,Male,38,7,127923.54693281445,2,1,0,25151.329813301993,0
15715951,584,France,Male,40,3,99446.70672948605,1,0,0,57517.39670923074,0
15591100,661,Spain,Male,38,9,134857.88657990732,1,0,1,56741.39751583757,0
15609618,770,France,Female,23,8,164590.2976544685,2,0,1,78481.20572591077,1
15675522,588,France,Male,32,9,129305.19876006286,2,1,1,59607.142937686156,0
15705512,671,France,Female,38,6,162139.31858558767,1,1,0,36256.97803644196,0
15698028,506,France,Female,41,1,0.0,2,1,0,31766.3,0
15661670,538,Germany,Female,32,7,114688.96141229203,1,1,0,151826.4613281016,0
15600781,698,France,Female,33,4,176747.2850551308,2,1,0,27027.20282780532,0
15682472,799,France,Male,33,9,154266.47315738106,2,0,0,12694.417759418382,0
15580203,674,Spain,Male,39,6,120193.42,1,0,0,100130.95,0
15690673,657,France,Male,39,6,0.0,2,1,0,90649.20111238022,0
15760085,677,France,Female,52,9,127908.42804181721,1,1,1,166259.9256206658,0
15779659,575,France,Male,29,3,0.0,1,0,0,185544.1814453769,0
15627360,443,France,Male,44,9,156151.79182213702,1,1,0,164200.50907594885,0
15671137,560,France,Female,51,2,0.0,1,0,0,41763.23260817262,1
15782688,628,Germany,Female,52,0,126816.88901917115,1,1,0,48875.682583048,1
15575492,828,France,Female,41,7,0.0,2,1,0,171378.77,0
15591607,765,France,Male,24,8,100256.60483370532,1,1,0,172609.75589285902,0
15740404,758,France,Female,34,3,0.0,2,1,1,124226.16,0
15718369,789,France,Female,34,9,108056.4827516442,1,1,1,96906.47223613116,0
15677871,687,France,Male,38,9,122570.87,1,1,1,35608.88,0
15642004,686,France,Male,25,1,0.0,2,0,1,16459.37,0
15712543,776,Spain,Male,37,8,111984.19280656739,2,1,1,120413.83653845006,0
15584518,602,France,Female,49,4,140674.79837501168,2,1,1,61832.37182617065,0
15802381,458,France,Female,33,6,102087.11779563346,1,0,1,71712.1119411382,0
15610156,628,France,Female,40,3,131092.7660616641,1,0,1,96498.36062281024,0
15594408,589,Germany,Female,42,2,185967.98540000003,1,1,0,114028.49782571553,1
15640905,560,France,Female,36,2,143316.24406768818,2,0,1,22255.432107519675,0
15698932,727,France,Male,44,10,136312.91172796593,1,1,0,187887.98038224393,0
15724944,663,France,Male,34,7,0.0,2,1,1,180427.24,0
15628145,673,France,Female,43,5,115473.03710506335,1,1,1,142626.80446609974,0
15713483,793,Spain,Male,52,2,0.0,1,1,0,159123.82,1
15612350,668,Spain,Female,32,5,5257.707260606359,1,1,0,31739.90331543758,1
15800703,493,France,Male,21,3,168746.6244592073,1,1,1,90221.38832400243,0
15705707,635,Spain,Female,29,8,138296.94,2,1,0,141075.51,0
15754105,638,France,Female,37,6,117679.35512095425,1,0,0,70628.41593840829,0
15703264,735,France,Male,44,9,120531.3764862009,1,1,0,96884.30342619176,0
15794413,480,France,Female,32,0,0.0,2,1,1,18380.316257137325,0
15650237,760,France,Female,33,8,0.0,2,1,0,92246.83713227353,0
15759618,566,Spain,Female,44,9,0.0,1,1,0,100465.89243961521,1
15811589,728,Spain,Male,43,9,0.0,2,1,0,132442.95468266224,0
15689044,546,France,Male,38,2,118750.24066103325,1,1,0,145376.58660904726,0
15709368,614,France,Female,43,6,0.0,2,1,1,109041.53,0
15679145,714,France,Female,60,7,0.0,1,1,0,17967.730071420177,1
15655007,751,France,Male,33,7,0.0,2,0,0,49751.24836927052,0
15623595,599,France,Male,28,2,0.0,2,1,1,103307.0057078704,0
15589975,650,Spain,Male,72,7,121747.73449799433,1,0,1,58590.60067130695,0
15804017,631,Spain,Male,33,5,124179.92277526011,1,0,0,114129.87460956398,0
15692132,702,France,Female,26,6,114030.79243539336,1,0,0,136388.12223474972,0
15641122,684,France,Male,30,2,0.0,2,1,0,83473.82,0
15630910,793,Germany,Female,46,7,129212.09575027932,1,0,0,72900.04426203355,1
15680772,721,Spain,Female,36,2,0.0,2,1,1,106977.8,0
15658929,666,Germany,Female,32,0,130389.28827275387,1,1,0,32769.035273136455,1
15585388,660,Germany,Male,31,9,125189.75,2,1,1,139874.43,0
15724623,704,Spain,Female,24,7,111350.03072874158,1,1,0,146457.3324826565,1
15588537,614,Germany,Female,39,9,104498.61719461448,1,1,0,141500.7517000636,0
15574692,676,France,Female,38,2,24699.108017132952,2,1,0,87198.60250207531,1
15611325,693,France,Female,28,9,41723.85414444616,2,0,0,129599.98482981649,0
15587562,530,France,Male,29,4,138690.85071310197,1,1,0,98872.06196269603,0
15613172,590,Germany,Male,27,5,100691.39795091191,2,1,0,169499.53077489985,0
15651022,549,Germany,Male,45,9,114553.23961504445,1,1,0,129560.66765549826,1
15586310,578,France,Male,30,4,169462.09,1,1,0,112187.11,0
15625524,512,France,Male,40,5,0.0,2,1,1,146457.83,0
15755209,484,Spain,Female,35,7,133868.21,1,1,1,27286.1,0
15645248,498,France,Male,31,1,0.0,2,1,1,81789.11066880019,0
15790355,606,Germany,Male,36,5,190479.48,2,0,0,179351.89,0
15762615,590,Spain,Female,42,8,112351.53406191153,1,0,1,110996.58260692986,0
15625426,754,Germany,Female,55,3,161608.81,1,1,0,8080.85,1
15716334,850,France,Female,42,2,126008.2835431089,1,1,1,53449.36319525022,0
15789669,510,France,Male,65,2,0.0,2,1,1,48071.61,0
15621075,780,Germany,Female,45,2,126679.98511715615,2,1,0,126665.44108628281,0
15810845,636,France,Male,42,2,0.0,2,1,1,55470.78,0
