column,type,actual_mean,synthetic_mean,actual_std,synthetic_std,mean_diff_pct,actual_category_count,synthetic_category_count,actual_top_category_pct,synthetic_top_category_pct
credit_score,numerical,650.5288,650.5308,96.6533,92.671,0.0,,,,
age,numerical,38.9218,38.7911,10.4878,10.0691,0.34,,,,
tenure,numerical,5.0128,4.9948,2.8922,2.758,0.36,,,,
balance,numerical,76485.8893,75666.1344,62397.4052,60723.0169,1.07,,,,
products_number,numerical,1.5302,1.5073,0.5817,0.5394,1.5,,,,
credit_card,numerical,0.7055,0.7424,0.4558,0.4373,5.23,,,,
active_member,numerical,0.5151,0.5071,0.4998,0.5,1.55,,,,
churn,numerical,0.2037,0.1651,0.4028,0.3713,18.95,,,,
estimated_salary,target_numeric,100090.2399,98585.2884,57510.4928,42136.8566,1.5,,,,
country,categorical,,,,,,3.0,3.0,50.14,56.1
gender,categorical,,,,,,2.0,2.0,54.57,56.02
