column,type,actual_mean,synthetic_mean,actual_std,synthetic_std,mean_diff_pct,actual_category_count,synthetic_category_count,actual_top_category_pct,synthetic_top_category_pct
credit_score,numerical,650.5288,650.5949,96.6533,92.4671,0.01,,,,
age,numerical,38.9218,38.7771,10.4878,10.0448,0.37,,,,
tenure,numerical,5.0128,4.9906,2.8922,2.7514,0.44,,,,
balance,numerical,76485.8893,75732.9045,62397.4052,60504.1014,0.98,,,,
products_number,numerical,1.5302,1.5073,0.5817,0.5389,1.5,,,,
credit_card,numerical,0.7055,0.7492,0.4558,0.4335,6.19,,,,
active_member,numerical,0.5151,0.5079,0.4998,0.5,1.4,,,,
churn,numerical,0.2037,0.1636,0.4028,0.3699,19.69,,,,
estimated_salary,target_numeric,100090.2399,98659.8593,57510.4928,42117.8823,1.43,,,,
country,categorical,,,,,,3.0,3.0,50.14,53.29
gender,categorical,,,,,,2.0,2.0,54.57,55.5
