feature_1,feature_2,real_corr,synthetic_corr,abs_corr_diff
credit_score,age,-0.004,-0.0088,0.0048
credit_score,tenure,0.0008,-0.0006,0.0014
credit_score,balance,0.0063,0.0105,0.0043
credit_score,products_number,0.0122,0.0079,0.0043
credit_score,credit_card,-0.0055,0.0005,0.006
credit_score,active_member,0.0257,0.0221,0.0035
credit_score,churn,-0.0271,-0.0228,0.0043
age,tenure,-0.01,-0.0238,0.0138
age,balance,0.0283,0.0387,0.0104
age,products_number,-0.0307,-0.095,0.0643
age,credit_card,-0.0117,0.0094,0.0211
age,active_member,0.0855,0.0781,0.0073
age,churn,0.2853,0.309,0.0237
tenure,balance,-0.0123,-0.0095,0.0028
tenure,products_number,0.0134,0.0172,0.0037
tenure,credit_card,0.0226,0.0295,0.0069
tenure,active_member,-0.0284,-0.0358,0.0074
tenure,churn,-0.014,-0.0154,0.0014
balance,products_number,-0.3042,-0.3684,0.0642
balance,credit_card,-0.0149,0.007,0.0219
balance,active_member,-0.0101,-0.0174,0.0074
balance,churn,0.1185,0.1218,0.0032
products_number,credit_card,0.0032,-0.0191,0.0223
products_number,active_member,0.0096,0.038,0.0284
products_number,churn,-0.0478,-0.1971,0.1493
credit_card,active_member,-0.0119,-0.013,0.0011
credit_card,churn,-0.0071,0.0414,0.0485
active_member,churn,-0.1561,-0.22,0.0639
