customer_id,credit_score,country,gender,age,tenure,balance,products_number,credit_card,active_member,estimated_salary,churn
15634602,700,France,Female,45,4,0.0,1,1,1,50796.61492826673,1
15647311,586,Spain,Female,39,1,103488.89472725107,1,0,1,112362.43870727222,0
15619304,531,France,Female,41,9,142149.65196496295,2,1,0,143399.6492016321,1
15701354,658,France,Female,38,1,0.0,2,0,0,96795.30256772306,0
15737888,774,Spain,Female,43,1,115443.90649136604,1,1,1,128878.7895901808,0
15574012,646,Spain,Male,40,8,117128.06607434338,2,1,0,145527.41570824455,1
15592531,822,France,Male,50,7,0.0,2,1,1,10062.8,0
15656148,512,Germany,Female,44,4,120767.87200719817,2,1,0,107618.41301713731,1
15792365,558,France,Male,38,4,127568.86907346742,2,0,1,165198.28203358117,0
15592389,677,France,Male,29,1,131664.68839784956,1,1,1,68262.97411918774,0
15767821,585,France,Male,35,6,128544.13480777934,2,0,0,83868.1641018019,0
15737173,497,Spain,Male,27,3,0.0,2,1,0,66261.43525675558,0
15632264,494,France,Female,42,9,0.0,2,1,0,29243.02969422311,0
15691483,549,France,Female,25,5,0.0,2,0,0,190857.79,0
15600882,609,Spain,Female,35,7,0.0,2,1,1,60333.965892043205,0
15643966,616,Germany,Male,45,3,143129.41,2,0,1,64327.26,0
15737452,658,Germany,Male,45,1,130273.17723305755,1,1,0,31971.922542498898,1
15788218,625,Spain,Female,30,9,0.0,2,1,1,24850.49461887891,0
15661507,591,Spain,Male,43,4,0.0,1,0,0,118213.96371491779,0
15568982,726,France,Female,24,6,0.0,2,1,1,54724.03,0
15577657,732,France,Male,41,8,0.0,2,1,1,148663.97555585476,0
15597945,636,Spain,Female,32,8,0.0,2,1,0,138555.46,0
15699309,546,Spain,Female,40,6,0.0,1,1,0,92152.26260892132,1
15725737,669,France,Male,46,3,0.0,2,0,1,8487.75,0
15625047,846,France,Female,38,5,0.0,1,1,1,187616.16,0
15738191,584,France,Male,26,3,0.0,2,0,1,34229.37746523559,0
15736816,758,Germany,Male,35,3,114642.04121328799,1,1,1,177544.34845704786,0
15700772,587,France,Male,44,10,0.0,2,0,0,77490.36832272416,0
15728693,580,Germany,Female,41,3,142435.11918436643,1,1,1,36709.35726114921,0
15656300,432,France,Male,33,0,45059.49987006934,2,1,1,37413.72965212921,0
15589475,604,Spain,Female,46,4,0.0,1,1,0,50594.45689229878,1
15706552,484,France,Male,55,7,82487.6282716421,1,0,1,138730.48262349662,0
15750181,520,Germany,Male,40,8,116433.15607542213,2,0,0,85739.19111767212,0
15659428,524,Spain,Female,40,6,0.0,2,1,1,136601.15842169255,0
15732963,699,Spain,Female,33,9,0.0,2,1,1,134948.96300878748,0
15794171,497,France,Female,51,1,132549.32100345154,1,1,0,39636.2935058295,1
15788448,642,Spain,Male,29,2,111006.99730234398,1,0,1,108341.62300680255,0
15729599,797,Spain,Male,34,6,144402.1522966384,1,0,1,44891.830886329306,0
15717426,850,France,Male,36,7,0.0,1,1,1,40812.9,0
15585768,589,Germany,Male,43,4,78343.7838942276,2,0,1,185504.44405862465,0
15619360,472,Spain,Male,40,4,0.0,1,1,0,70154.22,0
15738148,475,France,Male,55,9,128942.18247446541,1,0,0,173846.6943250413,1
15687946,556,France,Female,61,2,117419.35,1,1,1,94153.83,0
15755196,834,France,Female,49,2,131394.56,1,0,0,194365.76,1
15684171,660,Spain,Female,61,5,155931.11,1,1,1,158338.39,0
15754849,776,Germany,Female,36,3,95918.81848400601,2,1,1,157275.4035714951,0
15602280,832,Germany,Female,43,9,127037.58577019138,1,1,1,89209.9322159519,1
15771573,604,Germany,Female,51,8,129675.63065124156,1,1,1,127453.23006173942,1
15766205,544,Germany,Male,38,2,113325.15001375524,1,0,1,80390.66373201206,0
15771873,752,Germany,Female,40,2,133519.86538819116,2,1,0,190926.8870080811,0
15616550,691,Germany,Male,39,10,121735.51941887164,2,1,0,180843.89751589482,0
15768193,585,Germany,Male,36,5,146050.97,2,0,0,86424.57,0
15683553,742,France,Female,28,5,0.0,2,0,0,99300.29960495718,0
15702298,627,Germany,Male,42,8,128310.27353253504,1,0,0,164782.0893166872,1
15569590,601,Germany,Male,42,1,98495.72,1,1,0,40014.76,1
15760861,619,France,Male,43,1,125211.92,1,1,1,113410.49,0
15630053,648,France,Male,43,5,126532.27129215858,1,1,0,99551.72670523883,0
15647091,730,Germany,Male,21,0,99175.91681610594,1,0,0,66404.0757297982,0
15623944,573,Spain,Female,41,6,0.0,1,1,0,22712.061002377468,1
15804771,603,France,Male,49,4,47134.621487834294,1,1,1,39389.469666075456,0
15651280,731,Germany,Male,36,5,106957.7629349063,1,0,0,14100.439071008557,0
15773469,621,Germany,Female,32,9,150526.7113638544,2,0,0,119229.1045697097,0
15702014,575,Spain,Male,34,3,50148.03778903014,2,0,0,119405.08908091596,0
15751208,684,Spain,Male,56,8,78707.16,1,1,1,99398.36,0
15592461,603,Germany,Male,26,4,109166.37,1,1,1,92840.67,0
15789484,769,Germany,Female,37,9,131508.81576877608,2,1,1,72085.23402800545,0
15696061,623,Germany,Female,36,1,102755.3260166555,1,1,0,158683.5277521792,0
15641582,721,Germany,Male,33,9,117342.4963865662,2,1,1,118234.93522619348,0
15638424,587,Germany,Female,36,4,161098.3566489026,2,0,1,113717.90703985971,0
15755648,681,France,Female,24,8,120342.44354246726,1,1,0,37656.73495202724,0
15703793,760,Germany,Male,50,2,133591.6201622967,3,1,0,72433.51436254157,1
15620344,813,France,Male,29,6,0.0,1,1,0,33953.87,0
15812518,664,Spain,Female,38,1,161159.9354744898,1,0,1,115296.25650568494,0
15779052,602,Germany,Female,27,6,121918.92624959012,2,1,1,46368.31564868999,0
15770811,519,France,Male,36,9,0.0,2,0,1,145562.4,0
15780961,735,France,Female,21,1,178718.19,2,1,0,22388.0,0
15614049,664,France,Male,55,8,0.0,2,1,1,139161.64,0
15662085,696,France,Female,31,9,0.0,1,1,1,102925.91539151523,0
15575185,684,Spain,Male,33,6,67717.58059306597,1,0,1,192896.1793812393,0
15803136,438,Germany,Female,41,9,122325.05807213172,2,1,0,69823.93670226568,0
15706021,658,France,Female,30,1,101266.01039697003,2,0,0,61797.38083942824,0
15663706,776,France,Female,45,2,20628.761695763576,1,1,0,135359.49599169465,1
15641732,545,France,Female,36,3,0.0,2,0,0,26557.472482666766,0
15701164,579,France,Female,34,4,89026.05011858768,1,1,1,115079.67486761979,0
