label,column,metric,actual,synthetic,drift
estimated_salary,country,cramers_v,0.9999,1.0,0.0001
estimated_salary,gender,cramers_v,1.0,1.0,0.0
estimated_salary,credit_score,correlation,-0.0014,0.0487,0.0501
estimated_salary,age,correlation,-0.0072,-0.0557,0.0485
estimated_salary,tenure,correlation,0.0078,0.0658,0.058
estimated_salary,balance,correlation,0.0128,0.055,0.0422
estimated_salary,products_number,correlation,0.0142,0.0164,0.0022
estimated_salary,credit_card,correlation,-0.0099,-0.0242,0.0143
estimated_salary,active_member,correlation,-0.0114,-0.0586,0.0472
estimated_salary,churn,correlation,0.0121,-0.058,0.0701
