categorical_column,numerical_column,common_category_count,normalised_group_mean_diff
country,credit_score,3,0.0178
country,age,3,0.0237
country,tenure,3,0.0189
country,balance,3,0.0057
country,products_number,3,0.0654
country,credit_card,3,0.0333
country,active_member,3,0.0194
country,churn,3,0.0499
gender,credit_score,2,0.0143
gender,age,2,0.0067
gender,tenure,2,0.0063
gender,balance,2,0.0068
gender,products_number,2,0.0627
gender,credit_card,2,0.0184
gender,active_member,2,0.0108
gender,churn,2,0.0444
