column,type,actual_mean,synthetic_mean,actual_std,synthetic_std,mean_diff_pct,actual_category_count,synthetic_category_count,actual_top_category_pct,synthetic_top_category_pct
credit_score,numerical,650.5288,649.1625,96.6533,89.6589,0.21,,,,
age,numerical,38.9218,38.8595,10.4878,9.4787,0.16,,,,
tenure,numerical,5.0128,4.9958,2.8922,2.7116,0.34,,,,
balance,numerical,76485.8893,76097.0714,62397.4052,60801.1888,0.51,,,,
products_number,numerical,1.5302,1.4957,0.5817,0.5235,2.25,,,,
credit_card,numerical,0.7055,0.7131,0.4558,0.4523,1.08,,,,
active_member,numerical,0.5151,0.5094,0.4998,0.4999,1.11,,,,
churn,numerical,0.2037,0.1853,0.4028,0.3886,9.03,,,,
estimated_salary,target_numeric,100090.2399,99268.3076,57510.4928,50267.4747,0.82,,,,
country,categorical,,,,,,3.0,3.0,50.14,50.85
gender,categorical,,,,,,2.0,2.0,54.57,54.82
