feature_1,feature_2,real_corr,synthetic_corr,abs_corr_diff
credit_score,age,-0.004,-0.0114,0.0074
credit_score,tenure,0.0008,-0.0087,0.0096
credit_score,balance,0.0063,0.0009,0.0054
credit_score,products_number,0.0122,0.0125,0.0003
credit_score,credit_card,-0.0055,-0.0029,0.0025
credit_score,active_member,0.0257,0.0242,0.0015
credit_score,churn,-0.0271,-0.0309,0.0038
age,tenure,-0.01,-0.0243,0.0143
age,balance,0.0283,0.052,0.0237
age,products_number,-0.0307,-0.1345,0.1039
age,credit_card,-0.0117,0.0001,0.0118
age,active_member,0.0855,0.0636,0.0218
age,churn,0.2853,0.3894,0.1041
tenure,balance,-0.0123,-0.0081,0.0041
tenure,products_number,0.0134,0.0284,0.0149
tenure,credit_card,0.0226,0.0141,0.0085
tenure,active_member,-0.0284,-0.0509,0.0225
tenure,churn,-0.014,-0.0231,0.0091
balance,products_number,-0.3042,-0.3609,0.0567
balance,credit_card,-0.0149,-0.0328,0.018
balance,active_member,-0.0101,-0.0136,0.0035
balance,churn,0.1185,0.1125,0.0061
products_number,credit_card,0.0032,-0.0113,0.0145
products_number,active_member,0.0096,0.0508,0.0412
products_number,churn,-0.0478,-0.2137,0.1658
credit_card,active_member,-0.0119,-0.0113,0.0006
credit_card,churn,-0.0071,0.0356,0.0428
active_member,churn,-0.1561,-0.2249,0.0688
