customer_id,credit_score,country,gender,age,tenure,balance,products_number,credit_card,active_member,estimated_salary,churn
15634602,700,France,Female,45,4,0.0,1,1,1,63385.218931517826,1
15647311,566,Spain,Female,37,1,71148.3638678697,1,0,1,49672.22050778259,0
15619304,533,France,Female,46,8,154440.13536605064,2,1,0,104427.94359119491,1
15701354,695,France,Female,39,1,0.0,2,0,0,101554.20490621314,0
15737888,817,Spain,Female,43,2,125172.44760161433,1,1,1,139473.81468100185,0
15574012,645,Spain,Male,42,7,117334.46026427406,2,1,0,34604.997158142025,0
15592531,822,France,Male,50,7,0.0,2,1,1,10062.8,0
15656148,433,Germany,Female,37,4,104416.24971889882,3,1,0,87791.7541342863,1
15792365,510,France,Male,47,7,136929.46323008108,2,0,1,89049.96164616461,0
15592389,679,France,Male,28,2,132421.2811559618,1,1,1,88650.78076735497,0
15767821,553,France,Male,36,5,131702.89283503892,2,0,0,167803.8734177362,0
15737173,496,Spain,Male,25,2,0.0,2,1,0,100775.41007311583,0
15632264,478,France,Female,31,10,0.0,2,1,0,131020.36018868827,0
15691483,549,France,Female,25,5,0.0,2,0,0,190857.79,0
15600882,636,Spain,Female,35,7,0.0,2,1,1,84241.38006945133,0
15643966,616,Germany,Male,45,3,143129.41,2,0,1,64327.26,0
15737452,647,Germany,Male,54,1,129328.14671930975,1,1,0,82253.29735016993,1
15788218,575,Spain,Female,34,9,0.0,2,1,1,141061.18365914663,0
15661507,591,Spain,Male,37,5,0.0,1,0,0,32820.3853996343,0
15568982,726,France,Female,24,6,0.0,2,1,1,54724.03,0
15577657,727,France,Male,33,8,0.0,2,1,1,117782.82437796838,0
15597945,636,Spain,Female,32,8,0.0,2,1,0,138555.46,0
15699309,607,Spain,Female,37,4,0.0,1,1,0,17488.932831853963,1
15725737,669,France,Male,46,3,0.0,2,0,1,8487.75,0
15625047,846,France,Female,38,5,0.0,1,1,1,187616.16,0
15738191,600,France,Male,28,3,0.0,2,0,1,30028.03461041559,0
15736816,768,Germany,Male,32,1,128658.30392360728,1,1,1,102010.98042929012,0
15700772,487,France,Male,44,10,0.0,2,0,0,158875.57953591677,0
15728693,544,Germany,Female,36,3,105157.57708912158,1,1,1,72793.7595637691,0
15656300,432,France,Male,32,1,35857.27023954723,2,1,1,58983.213443014756,0
15589475,663,Spain,Female,40,3,0.0,3,1,0,18581.522997262407,1
15706552,521,France,Male,37,7,94472.74315420099,1,0,1,95216.84846264769,0
15750181,579,Germany,Male,37,8,118924.59731071681,2,0,0,107983.348176519,0
15659428,521,Spain,Female,37,6,0.0,2,1,1,118924.07802980681,0
15732963,708,Spain,Female,31,9,0.0,2,1,1,107553.10943185187,0
15794171,492,France,Female,49,1,133316.15182656437,1,1,0,109384.3651586183,1
15788448,567,Spain,Male,29,1,119233.50459293324,1,0,1,60177.27037201427,0
15729599,662,Spain,Male,33,6,74730.0051768876,1,0,1,128768.22401088609,0
15717426,850,France,Male,36,7,0.0,1,1,1,40812.9,0
15585768,607,Germany,Male,44,3,92380.45120446502,2,0,1,128669.29644867747,0
15619360,472,Spain,Male,40,4,0.0,1,1,0,70154.22,0
15738148,518,France,Female,48,4,62030.28498579063,1,0,0,83333.40682078018,1
15687946,556,France,Female,61,2,117419.35,1,1,1,94153.83,0
15755196,834,France,Female,49,2,131394.56,1,0,0,194365.76,1
15684171,660,Spain,Female,61,5,155931.11,1,1,1,158338.39,0
15754849,739,Germany,Female,33,5,114138.20301567874,2,1,1,139340.83185779638,0
15602280,838,Germany,Female,36,9,123375.86703883375,1,1,1,119719.78927317353,1
15771573,609,Germany,Female,53,6,132747.51829351851,1,1,1,75152.29764501116,1
15766205,653,France,Male,40,3,118808.68135293055,1,0,1,99377.71785903211,0
15771873,805,Germany,Female,43,2,113012.32653427725,2,1,0,126788.67839407022,0
15616550,697,Germany,Male,43,10,127823.70958757852,2,1,0,142918.35990249985,0
15768193,585,Germany,Male,36,5,146050.97,2,0,0,86424.57,0
15683553,775,France,Female,37,5,0.0,2,0,0,60966.1635365471,0
15702298,641,Germany,Male,42,8,132473.86767492667,1,0,0,125134.15304244243,1
15569590,601,Germany,Male,42,1,98495.72,1,1,0,40014.76,1
15760861,619,France,Male,43,1,125211.92,1,1,1,113410.49,0
15630053,652,France,Male,44,4,127047.97531877487,1,1,0,120448.36919973999,0
15647091,691,France,Male,30,4,75275.6660374122,2,0,0,183354.99677996096,0
15623944,588,Spain,Female,55,5,0.0,1,1,0,27960.772975467302,1
15804771,608,France,Male,57,3,55046.18435332396,1,1,1,114144.86533439832,0
15651280,736,Germany,Male,37,5,91350.71527217049,2,0,0,89484.61069083339,0
15773469,671,Germany,Female,29,8,151833.13295094718,2,0,0,114966.85207844323,0
15702014,590,Spain,Male,34,2,23517.86258474129,2,0,0,38624.837974083195,0
15751208,684,Spain,Male,56,8,78707.16,1,1,1,99398.36,0
15592461,603,Germany,Male,26,4,109166.37,1,1,1,92840.67,0
15789484,734,Germany,Female,35,7,163897.59720498347,2,1,1,122261.31254233848,0
15696061,627,Germany,Female,39,1,105509.85422279012,1,1,0,133339.58052342793,0
15641582,714,Germany,Male,41,10,120610.74769210644,2,1,1,134490.3602855066,0
15638424,672,Germany,Female,41,3,143003.2740273436,2,0,1,63588.2069811136,0
15755648,683,France,Female,28,9,112544.51830907815,1,1,0,104271.84078500618,0
15703793,741,Germany,Male,55,2,129327.80907211473,1,1,0,91012.59752297713,1
15620344,813,France,Male,29,6,0.0,1,1,0,33953.87,0
15812518,676,Spain,Female,40,3,159097.7802193736,1,0,1,67707.67959271104,0
15779052,602,Germany,Female,29,6,130761.15707307965,2,1,1,85940.70396910752,0
15770811,519,France,Male,36,9,0.0,2,0,1,145562.4,0
15780961,735,France,Female,21,1,178718.19,2,1,0,22388.0,0
15614049,664,France,Male,55,8,0.0,2,1,1,139161.64,0
15662085,681,France,Female,31,9,0.0,1,1,1,161162.63268890104,0
15575185,783,Spain,Male,34,5,108797.75365677003,1,0,1,130822.64828885216,0
15803136,588,Germany,Female,41,9,122064.71894046979,2,1,0,64894.4548756338,0
15706021,653,France,Female,35,2,60072.43811809507,2,0,0,107330.29551337508,0
15663706,776,France,Female,39,2,42206.27794202527,1,1,0,123643.35452568652,1
15641732,575,France,Female,35,4,0.0,2,0,0,113851.94314303975,0
15701164,515,France,Female,34,4,117668.65892198819,1,1,1,124569.85770235227,0
15738751,495,France,Female,36,4,0.0,2,1,0,99785.76677304812,0
15805254,688,Spain,Female,58,10,0.0,2,1,1,139525.42566885144,0
15762418,617,Spain,Male,49,2,131610.2218420111,1,1,0,82390.93819713996,1
15625759,736,France,Male,31,9,0.0,2,1,0,155832.81061623406,0
15622897,640,France,Female,44,2,0.0,2,1,0,67190.5791800378,1
15767954,634,Germany,Female,28,3,91477.85890557333,2,1,1,64735.388782006055,0
15757535,640,Spain,Female,43,5,0.0,3,1,1,69255.93435637337,0
15731511,704,France,Male,44,7,115401.42477332435,2,1,0,101958.39962474146,0
15809248,496,France,Female,33,9,0.0,2,1,0,96921.55731969504,0
15640635,769,France,Male,29,8,0.0,2,1,1,172290.61,0
15676966,732,Spain,Male,43,4,70175.23314061454,1,0,1,132482.49102736198,0
15699461,568,Spain,Male,41,8,127702.3189417194,1,0,1,72241.24645895814,0
15738721,694,Spain,Male,36,8,97687.20246767359,1,0,1,125326.11001440966,0
15693683,760,Germany,Male,31,8,100081.1535685523,2,1,1,159924.17820406178,0
15604348,731,Spain,Male,24,7,0.0,2,0,0,118934.34363968224,0
15633059,449,France,Male,34,7,0.0,2,0,0,158915.98460801033,0
15808582,665,France,Female,40,6,0.0,1,1,1,161848.03,0
15743192,678,France,Female,35,6,0.0,2,0,0,132697.56578020344,0
15580146,738,France,Male,31,9,82674.15,1,1,0,41970.72,0
15776605,524,Spain,Male,35,7,0.0,2,1,0,89959.78252193361,0
15804919,636,Spain,Female,65,1,26154.657140980664,1,1,1,119633.88505365644,1
15613854,635,Spain,Female,35,5,110162.57263605972,2,1,1,86900.48009669993,1
