column,type,actual_mean,synthetic_mean,actual_std,synthetic_std,mean_diff_pct,actual_category_count,synthetic_category_count,actual_top_category_pct,synthetic_top_category_pct
credit_score,numerical,650.5288,649.955,96.6533,89.9468,0.09,,,,
age,numerical,38.9218,38.9025,10.4878,9.4917,0.05,,,,
tenure,numerical,5.0128,4.982,2.8922,2.7155,0.61,,,,
balance,numerical,76485.8893,75815.5284,62397.4052,60812.1669,0.88,,,,
products_number,numerical,1.5302,1.4975,0.5817,0.5278,2.14,,,,
credit_card,numerical,0.7055,0.7126,0.4558,0.4526,1.01,,,,
active_member,numerical,0.5151,0.51,0.4998,0.4999,0.99,,,,
churn,numerical,0.2037,0.1857,0.4028,0.3889,8.84,,,,
estimated_salary,target_numeric,100090.2399,98229.3886,57510.4928,41936.9504,1.86,,,,
country,categorical,,,,,,3.0,3.0,50.14,50.95
gender,categorical,,,,,,2.0,2.0,54.57,54.79
