feature_1,feature_2,real_corr,synthetic_corr,abs_corr_diff
credit_score,age,-0.004,-0.0161,0.0121
credit_score,tenure,0.0008,-0.0075,0.0084
credit_score,balance,0.0063,0.0021,0.0041
credit_score,products_number,0.0122,0.0167,0.0044
credit_score,credit_card,-0.0055,-0.0085,0.0031
credit_score,active_member,0.0257,0.0223,0.0033
credit_score,churn,-0.0271,-0.0271,0.0
age,tenure,-0.01,-0.0249,0.0149
age,balance,0.0283,0.0632,0.0348
age,products_number,-0.0307,-0.1341,0.1034
age,credit_card,-0.0117,0.0008,0.0125
age,active_member,0.0855,0.064,0.0215
age,churn,0.2853,0.3915,0.1062
tenure,balance,-0.0123,-0.0163,0.0041
tenure,products_number,0.0134,0.0356,0.0222
tenure,credit_card,0.0226,0.0196,0.0029
tenure,active_member,-0.0284,-0.0506,0.0222
tenure,churn,-0.014,-0.0274,0.0134
balance,products_number,-0.3042,-0.3589,0.0547
balance,credit_card,-0.0149,-0.0187,0.0038
balance,active_member,-0.0101,-0.0094,0.0007
balance,churn,0.1185,0.1138,0.0048
products_number,credit_card,0.0032,-0.021,0.0242
products_number,active_member,0.0096,0.0526,0.043
products_number,churn,-0.0478,-0.2216,0.1738
credit_card,active_member,-0.0119,-0.016,0.0042
credit_card,churn,-0.0071,0.0339,0.0411
active_member,churn,-0.1561,-0.2248,0.0687
