folder,name,k_anonymity,k_neighbors,cat_gen_method,num_gen_method,scaler_method,num_weight,cat_weight,distance_profile,distance_mode,num_distance_metric,cat_distance_metric,minkowski_p,random_state,runtime_sec,peak_memory_mb,n_suppressed,tvd_pass_rate,ks_pass_rate,mean_tvd,mean_ks,mean_pair_drift,exact_match_rate,mean_psi,overall_pass,relationship_score,ks_quality,quality_score,composite_score,rank
016_k3_kn15_cat-mode_num-weighted_mean_scale-robust_weighted_sum-euclidean-cat-hamming_w-balanced,k=3 kn=15 cat=mode num=weighted_mean scale=robust weighted_sum/euclidean/hamming/balanced,3,15,mode,weighted_mean,robust,1.0,1.0,balanced,weighted_sum,euclidean,hamming,3,42,70.124,8.26,7180,0.6667,1.0,0.084,0.0176,0.03923,0.0,0.0072,False,0.6077,0.824,0.7869,0.773,1
012_k3_kn3_cat-probability_num-weighted_mean_scale-robust_weighted_sum-euclidean-cat-hamming_w-balanced,k=3 kn=3 cat=probability num=weighted_mean scale=robust weighted_sum/euclidean/hamming/balanced,3,3,probability,weighted_mean,robust,1.0,1.0,balanced,weighted_sum,euclidean,hamming,3,42,70.269,8.26,7180,0.6667,1.0,0.084,0.0176,0.03923,0.0,0.0072,False,0.6077,0.824,0.7869,0.7729,2
024_k3_kn15_cat-probability_num-weighted_mean_scale-robust_weighted_sum-euclidean-cat-hamming_w-balanced,k=3 kn=15 cat=probability num=weighted_mean scale=robust weighted_sum/euclidean/hamming/balanced,3,15,probability,weighted_mean,robust,1.0,1.0,balanced,weighted_sum,euclidean,hamming,3,42,70.42,8.37,7180,0.6667,1.0,0.084,0.0176,0.03923,0.0,0.0072,False,0.6077,0.824,0.7869,0.7729,3
020_k3_kn15_cat-weighted_mode_num-weighted_mean_scale-robust_weighted_sum-euclidean-cat-hamming_w-balanced,k=3 kn=15 cat=weighted_mode num=weighted_mean scale=robust weighted_sum/euclidean/hamming/balanced,3,15,weighted_mode,weighted_mean,robust,1.0,1.0,balanced,weighted_sum,euclidean,hamming,3,42,71.04,8.51,7180,0.6667,1.0,0.084,0.0176,0.03923,0.0,0.0072,False,0.6077,0.824,0.7869,0.7728,4
010_k3_kn3_cat-probability_num-interpolation_scale-robust_weighted_sum-euclidean-cat-hamming_w-balanced,k=3 kn=3 cat=probability num=interpolation scale=robust weighted_sum/euclidean/hamming/balanced,3,3,probability,interpolation,robust,1.0,1.0,balanced,weighted_sum,euclidean,hamming,3,42,72.348,8.45,7180,0.6667,1.0,0.084,0.0176,0.03923,0.0,0.0072,False,0.6077,0.824,0.7869,0.7725,5
014_k3_kn15_cat-mode_num-interpolation_scale-robust_weighted_sum-euclidean-cat-hamming_w-balanced,k=3 kn=15 cat=mode num=interpolation scale=robust weighted_sum/euclidean/hamming/balanced,3,15,mode,interpolation,robust,1.0,1.0,balanced,weighted_sum,euclidean,hamming,3,42,73.027,8.45,7180,0.6667,1.0,0.084,0.0176,0.03923,0.0,0.0072,False,0.6077,0.824,0.7869,0.7724,6
018_k3_kn15_cat-weighted_mode_num-interpolation_scale-robust_weighted_sum-euclidean-cat-hamming_w-balanced,k=3 kn=15 cat=weighted_mode num=interpolation scale=robust weighted_sum/euclidean/hamming/balanced,3,15,weighted_mode,interpolation,robust,1.0,1.0,balanced,weighted_sum,euclidean,hamming,3,42,73.139,8.66,7180,0.6667,1.0,0.084,0.0176,0.03923,0.0,0.0072,False,0.6077,0.824,0.7869,0.7724,7
006_k3_kn3_cat-weighted_mode_num-interpolation_scale-robust_weighted_sum-euclidean-cat-hamming_w-balanced,k=3 kn=3 cat=weighted_mode num=interpolation scale=robust weighted_sum/euclidean/hamming/balanced,3,3,weighted_mode,interpolation,robust,1.0,1.0,balanced,weighted_sum,euclidean,hamming,3,42,73.432,8.59,7180,0.6667,1.0,0.084,0.0176,0.03923,0.0,0.0072,False,0.6077,0.824,0.7869,0.7723,8
022_k3_kn15_cat-probability_num-interpolation_scale-robust_weighted_sum-euclidean-cat-hamming_w-balanced,k=3 kn=15 cat=probability num=interpolation scale=robust weighted_sum/euclidean/hamming/balanced,3,15,probability,interpolation,robust,1.0,1.0,balanced,weighted_sum,euclidean,hamming,3,42,73.589,8.57,7180,0.6667,1.0,0.084,0.0176,0.03923,0.0,0.0072,False,0.6077,0.824,0.7869,0.7723,9
004_k3_kn3_cat-mode_num-weighted_mean_scale-robust_weighted_sum-euclidean-cat-hamming_w-balanced,k=3 kn=3 cat=mode num=weighted_mean scale=robust weighted_sum/euclidean/hamming/balanced,3,3,mode,weighted_mean,robust,1.0,1.0,balanced,weighted_sum,euclidean,hamming,3,42,74.336,8.65,7180,0.6667,1.0,0.084,0.0176,0.03923,0.0,0.0072,False,0.6077,0.824,0.7869,0.7721,10
