k_anonymity,k_neighbors,cat_gen_method,num_gen_method,scaler_method,distance_mode,num_distance_metric,minkowski_p,cat_distance_metric,num_weight,cat_weight,distance_profile
3,3,mode,interpolation,standard,weighted_sum,euclidean,3,hamming,1.0,1.0,balanced
3,3,mode,weighted_mean,standard,weighted_sum,euclidean,3,hamming,1.0,1.0,balanced
3,3,weighted_mode,interpolation,standard,weighted_sum,euclidean,3,hamming,1.0,1.0,balanced
3,3,weighted_mode,weighted_mean,standard,weighted_sum,euclidean,3,hamming,1.0,1.0,balanced
3,3,probability,interpolation,standard,weighted_sum,euclidean,3,hamming,1.0,1.0,balanced
3,3,probability,weighted_mean,standard,weighted_sum,euclidean,3,hamming,1.0,1.0,balanced
3,15,mode,interpolation,standard,weighted_sum,euclidean,3,hamming,1.0,1.0,balanced
3,15,mode,weighted_mean,standard,weighted_sum,euclidean,3,hamming,1.0,1.0,balanced
3,15,weighted_mode,interpolation,standard,weighted_sum,euclidean,3,hamming,1.0,1.0,balanced
3,15,weighted_mode,weighted_mean,standard,weighted_sum,euclidean,3,hamming,1.0,1.0,balanced
3,15,probability,interpolation,standard,weighted_sum,euclidean,3,hamming,1.0,1.0,balanced
3,15,probability,weighted_mean,standard,weighted_sum,euclidean,3,hamming,1.0,1.0,balanced
5,3,mode,interpolation,standard,weighted_sum,euclidean,3,hamming,1.0,1.0,balanced
5,3,mode,weighted_mean,standard,weighted_sum,euclidean,3,hamming,1.0,1.0,balanced
5,3,weighted_mode,interpolation,standard,weighted_sum,euclidean,3,hamming,1.0,1.0,balanced
5,3,weighted_mode,weighted_mean,standard,weighted_sum,euclidean,3,hamming,1.0,1.0,balanced
5,3,probability,interpolation,standard,weighted_sum,euclidean,3,hamming,1.0,1.0,balanced
5,3,probability,weighted_mean,standard,weighted_sum,euclidean,3,hamming,1.0,1.0,balanced
5,15,mode,interpolation,standard,weighted_sum,euclidean,3,hamming,1.0,1.0,balanced
5,15,mode,weighted_mean,standard,weighted_sum,euclidean,3,hamming,1.0,1.0,balanced
5,15,weighted_mode,interpolation,standard,weighted_sum,euclidean,3,hamming,1.0,1.0,balanced
5,15,weighted_mode,weighted_mean,standard,weighted_sum,euclidean,3,hamming,1.0,1.0,balanced
5,15,probability,interpolation,standard,weighted_sum,euclidean,3,hamming,1.0,1.0,balanced
