folder,name,k_anonymity,k_neighbors,cat_gen_method,num_gen_method,target_gen_method,scaler_method,num_weight,cat_weight,distance_profile,distance_mode,num_distance_metric,cat_distance_metric,minkowski_p,random_state,runtime_sec,peak_memory_mb,n_suppressed,tvd_pass_rate,ks_pass_rate,mean_tvd,mean_ks,mean_corr_drift,f1_baseline,f1_synthetic,exact_match_rate,overall_pass,composite_score,rank,target_cols,utility_pass_rate
048_k3_cat-mode_num-weighted_mean_tgt-mode_scale-minmax_weighted_sum-euclidean-cat-overlap_w-balanced,K=3 cat=mode num=weighted_mean tgt=mode scale=minmax weighted_sum/euclidean/overlap/balanced,3,3,mode,weighted_mean,mode,minmax,2.0,2.0,balanced,weighted_sum,euclidean,overlap,3,42,25.586,2978.6,3179,1.0,1.0,0.0221,0.0292,0.01,1.0,0.7009,0.0,False,2.41584,1,churn,0.0
059_k3_cat-mode_num-weighted_mean_tgt-mode_scale-minmax_weighted_sum-manhattan-cat-overlap_w-balanced,K=3 cat=mode num=weighted_mean tgt=mode scale=minmax weighted_sum/manhattan/overlap/balanced,3,3,mode,weighted_mean,mode,minmax,2.0,1.0,balanced,weighted_sum,manhattan,overlap,3,42,26.354,2813.17,3179,1.0,1.0,0.0304,0.0267,0.0158,1.0,0.7048,0.0,False,2.4145600000000003,2,churn,0.0
041_k3_cat-mode_num-weighted_mean_tgt-mode_scale-minmax_weighted_sum-euclidean-cat-jaccard_w-balanced,K=3 cat=mode num=weighted_mean tgt=mode scale=minmax weighted_sum/euclidean/jaccard/balanced,3,3,mode,weighted_mean,mode,minmax,1.0,1.0,balanced,weighted_sum,euclidean,jaccard,3,42,27.289,2978.6,3179,1.0,1.0,0.0221,0.0292,0.01,1.0,0.7009,0.0,False,2.39881,3,churn,0.0
045_k3_cat-mode_num-weighted_mean_tgt-mode_scale-minmax_weighted_sum-euclidean-cat-overlap_w-balanced,K=3 cat=mode num=weighted_mean tgt=mode scale=minmax weighted_sum/euclidean/overlap/balanced,3,3,mode,weighted_mean,mode,minmax,1.0,1.0,balanced,weighted_sum,euclidean,overlap,3,42,28.04,2978.6,3179,1.0,1.0,0.0221,0.0292,0.01,1.0,0.7009,0.0,False,2.3913,4,churn,0.0
061_k3_cat-mode_num-weighted_mean_tgt-mode_scale-minmax_weighted_sum-minkowski-cat-hamming_w-balanced,K=3 cat=mode num=weighted_mean tgt=mode scale=minmax weighted_sum/minkowski/hamming/balanced,3,3,mode,weighted_mean,mode,minmax,1.0,1.0,balanced,weighted_sum,minkowski,hamming,3,42,28.536,3971.22,3179,1.0,1.0,0.0218,0.0293,0.013,1.0,0.7048,0.0,False,2.39014,5,churn,0.0
084_k3_cat-mode_num-weighted_mean_tgt-mode_scale-robust_weighted_sum-euclidean-cat-overlap_w-balanced,K=3 cat=mode num=weighted_mean tgt=mode scale=robust weighted_sum/euclidean/overlap/balanced,3,3,mode,weighted_mean,mode,robust,2.0,1.0,balanced,weighted_sum,euclidean,overlap,3,42,34.133,2978.6,3179,1.0,1.0,0.0373,0.0223,0.00125,1.0,0.7511,0.0,False,2.38747,6,churn,0.0
040_k3_cat-mode_num-weighted_mean_tgt-mode_scale-minmax_weighted_sum-euclidean-cat-hamming_w-balanced,K=3 cat=mode num=weighted_mean tgt=mode scale=minmax weighted_sum/euclidean/hamming/balanced,3,3,mode,weighted_mean,mode,minmax,2.0,2.0,balanced,weighted_sum,euclidean,hamming,3,42,29.122,2978.6,3179,1.0,1.0,0.0221,0.0292,0.01,1.0,0.7009,0.0,False,2.38048,7,churn,0.0
082_k3_cat-mode_num-weighted_mean_tgt-mode_scale-robust_weighted_sum-euclidean-cat-overlap_w-balanced,K=3 cat=mode num=weighted_mean tgt=mode scale=robust weighted_sum/euclidean/overlap/balanced,3,3,mode,weighted_mean,mode,robust,1.0,1.0,balanced,weighted_sum,euclidean,overlap,3,42,33.585,2978.6,3179,1.0,1.0,0.0228,0.0266,0.0063,1.0,0.7421,0.0,False,2.37965,8,churn,0.0
039_k3_cat-mode_num-weighted_mean_tgt-mode_scale-minmax_weighted_sum-euclidean-cat-hamming_w-balanced,K=3 cat=mode num=weighted_mean tgt=mode scale=minmax weighted_sum/euclidean/hamming/balanced,3,3,mode,weighted_mean,mode,minmax,2.0,1.0,balanced,weighted_sum,euclidean,hamming,3,42,29.924,2978.6,3179,1.0,1.0,0.0227,0.0285,0.01065,1.0,0.7039,0.0,False,2.3761599999999996,9,churn,0.0
047_k3_cat-mode_num-weighted_mean_tgt-mode_scale-minmax_weighted_sum-euclidean-cat-overlap_w-balanced,K=3 cat=mode num=weighted_mean tgt=mode scale=minmax weighted_sum/euclidean/overlap/balanced,3,3,mode,weighted_mean,mode,minmax,2.0,1.0,balanced,weighted_sum,euclidean,overlap,3,42,30.688,2978.6,3179,1.0,1.0,0.0227,0.0285,0.01065,1.0,0.7039,0.0,False,2.3685199999999997,10,churn,0.0
038_k3_cat-mode_num-weighted_mean_tgt-mode_scale-minmax_weighted_sum-euclidean-cat-hamming_w-balanced,K=3 cat=mode num=weighted_mean tgt=mode scale=minmax weighted_sum/euclidean/hamming/balanced,3,3,mode,weighted_mean,mode,minmax,1.0,2.0,balanced,weighted_sum,euclidean,hamming,3,42,30.436,2978.6,3179,1.0,1.0,0.0221,0.0292,0.01,1.0,0.7009,0.0,False,2.36734,11,churn,0.0
044_k3_cat-mode_num-weighted_mean_tgt-mode_scale-minmax_weighted_sum-euclidean-cat-jaccard_w-balanced,K=3 cat=mode num=weighted_mean tgt=mode scale=minmax weighted_sum/euclidean/jaccard/balanced,3,3,mode,weighted_mean,mode,minmax,2.0,2.0,balanced,weighted_sum,euclidean,jaccard,3,42,30.469,2978.6,3179,1.0,1.0,0.0221,0.0292,0.01,1.0,0.7009,0.0,False,2.36701,12,churn,0.0
042_k3_cat-mode_num-weighted_mean_tgt-mode_scale-minmax_weighted_sum-euclidean-cat-jaccard_w-balanced,K=3 cat=mode num=weighted_mean tgt=mode scale=minmax weighted_sum/euclidean/jaccard/balanced,3,3,mode,weighted_mean,mode,minmax,1.0,2.0,balanced,weighted_sum,euclidean,jaccard,3,42,30.724,2978.6,3179,1.0,1.0,0.0221,0.0292,0.01,1.0,0.7009,0.0,False,2.36446,13,churn,0.0
043_k3_cat-mode_num-weighted_mean_tgt-mode_scale-minmax_weighted_sum-euclidean-cat-jaccard_w-balanced,K=3 cat=mode num=weighted_mean tgt=mode scale=minmax weighted_sum/euclidean/jaccard/balanced,3,3,mode,weighted_mean,mode,minmax,2.0,1.0,balanced,weighted_sum,euclidean,jaccard,3,42,30.811,2978.6,3179,1.0,1.0,0.0222,0.0291,0.00995,1.0,0.6998,0.0,False,2.3625899999999995,14,churn,0.0
083_k3_cat-mode_num-weighted_mean_tgt-mode_scale-robust_weighted_sum-euclidean-cat-overlap_w-balanced,K=3 cat=mode num=weighted_mean tgt=mode scale=robust weighted_sum/euclidean/overlap/balanced,3,3,mode,weighted_mean,mode,robust,1.0,2.0,balanced,weighted_sum,euclidean,overlap,3,42,34.045,2978.6,3179,1.0,1.0,0.0176,0.029,0.0095,1.0,0.7284,0.0,False,2.35895,15,churn,0.0
051_k3_cat-mode_num-weighted_mean_tgt-mode_scale-minmax_weighted_sum-manhattan-cat-hamming_w-balanced,K=3 cat=mode num=weighted_mean tgt=mode scale=minmax weighted_sum/manhattan/hamming/balanced,3,3,mode,weighted_mean,mode,minmax,2.0,1.0,balanced,weighted_sum,manhattan,hamming,3,42,32.12,2813.17,3179,1.0,1.0,0.0304,0.0267,0.0158,1.0,0.7048,0.0,False,2.3569,16,churn,0.0
085_k3_cat-mode_num-weighted_mean_tgt-mode_scale-robust_weighted_sum-euclidean-cat-overlap_w-balanced,K=3 cat=mode num=weighted_mean tgt=mode scale=robust weighted_sum/euclidean/overlap/balanced,3,3,mode,weighted_mean,mode,robust,2.0,2.0,balanced,weighted_sum,euclidean,overlap,3,42,35.931,2978.6,3179,1.0,1.0,0.0228,0.0264,0.0063,1.0,0.7421,0.0,False,2.3563899999999998,17,churn,0.0
046_k3_cat-mode_num-weighted_mean_tgt-mode_scale-minmax_weighted_sum-euclidean-cat-overlap_w-balanced,K=3 cat=mode num=weighted_mean tgt=mode scale=minmax weighted_sum/euclidean/overlap/balanced,3,3,mode,weighted_mean,mode,minmax,1.0,2.0,balanced,weighted_sum,euclidean,overlap,3,42,31.703,2978.6,3179,1.0,1.0,0.0221,0.0292,0.01,1.0,0.7009,0.0,False,2.35467,18,churn,0.0
080_k3_cat-mode_num-weighted_mean_tgt-mode_scale-robust_weighted_sum-euclidean-cat-jaccard_w-balanced,K=3 cat=mode num=weighted_mean tgt=mode scale=robust weighted_sum/euclidean/jaccard/balanced,3,3,mode,weighted_mean,mode,robust,2.0,1.0,balanced,weighted_sum,euclidean,jaccard,3,42,38.248,2978.6,3179,1.0,1.0,0.034,0.0231,0.00695,1.0,0.7538,0.0,False,2.34822,19,churn,0.0
081_k3_cat-mode_num-weighted_mean_tgt-mode_scale-robust_weighted_sum-euclidean-cat-jaccard_w-balanced,K=3 cat=mode num=weighted_mean tgt=mode scale=robust weighted_sum/euclidean/jaccard/balanced,3,3,mode,weighted_mean,mode,robust,2.0,2.0,balanced,weighted_sum,euclidean,jaccard,3,42,35.283,2978.6,3179,1.0,1.0,0.0192,0.0278,0.00485,1.0,0.7278,0.0,False,2.34717,20,churn,0.0
037_k3_cat-mode_num-weighted_mean_tgt-mode_scale-minmax_weighted_sum-euclidean-cat-hamming_w-balanced,K=3 cat=mode num=weighted_mean tgt=mode scale=minmax weighted_sum/euclidean/hamming/balanced,3,3,mode,weighted_mean,mode,minmax,1.0,1.0,balanced,weighted_sum,euclidean,hamming,3,42,34.584,2980.1,3179,1.0,1.0,0.0221,0.0292,0.01,1.0,0.7009,0.0,False,2.32586,21,churn,0.0
007_k3_cat-mode_num-weighted_mean_tgt-mode_scale-standard_weighted_sum-euclidean-cat-jaccard_w-balanced,K=3 cat=mode num=weighted_mean tgt=mode scale=standard weighted_sum/euclidean/jaccard/balanced,3,3,mode,weighted_mean,mode,standard,2.0,1.0,balanced,weighted_sum,euclidean,jaccard,3,42,57.104,2978.6,3179,1.0,1.0,0.0352,0.021,0.0079,0.2906,0.2658,0.0,True,2.3226193255333794,22,,
086_k3_cat-mode_num-weighted_mean_tgt-mode_scale-robust_weighted_sum-manhattan-cat-hamming_w-balanced,K=3 cat=mode num=weighted_mean tgt=mode scale=robust weighted_sum/manhattan/hamming/balanced,3,3,mode,weighted_mean,mode,robust,1.0,1.0,balanced,weighted_sum,manhattan,hamming,3,42,40.852,2813.17,3179,1.0,1.0,0.0356,0.0215,0.00795,1.0,0.7437,0.0,False,2.3136799999999997,23,churn,0.0
077_k3_cat-mode_num-weighted_mean_tgt-mode_scale-robust_weighted_sum-euclidean-cat-hamming_w-balanced,K=3 cat=mode num=weighted_mean tgt=mode scale=robust weighted_sum/euclidean/hamming/balanced,3,3,mode,weighted_mean,mode,robust,2.0,2.0,balanced,weighted_sum,euclidean,hamming,3,42,41.252,2978.6,3179,1.0,1.0,0.0228,0.0264,0.0063,1.0,0.7421,0.0,False,2.3031799999999993,24,churn,0.0
050_k3_cat-mode_num-weighted_mean_tgt-mode_scale-minmax_weighted_sum-manhattan-cat-hamming_w-balanced,K=3 cat=mode num=weighted_mean tgt=mode scale=minmax weighted_sum/manhattan/hamming/balanced,3,3,mode,weighted_mean,mode,minmax,1.0,2.0,balanced,weighted_sum,manhattan,hamming,3,42,25.042,2813.17,3179,1.0,0.875,0.0225,0.0295,0.01465,1.0,0.703,0.0,False,2.2980799999999997,25,churn,0.0
049_k3_cat-mode_num-weighted_mean_tgt-mode_scale-minmax_weighted_sum-manhattan-cat-hamming_w-balanced,K=3 cat=mode num=weighted_mean tgt=mode scale=minmax weighted_sum/manhattan/hamming/balanced,3,3,mode,weighted_mean,mode,minmax,1.0,1.0,balanced,weighted_sum,manhattan,hamming,3,42,25.555,2813.17,3179,1.0,0.875,0.0228,0.029,0.014,1.0,0.7068,0.0,False,2.29725,26,churn,0.0
065_k3_cat-mode_num-weighted_mean_tgt-mode_scale-minmax_weighted_sum-minkowski-cat-jaccard_w-balanced,K=3 cat=mode num=weighted_mean tgt=mode scale=minmax weighted_sum/minkowski/jaccard/balanced,3,3,mode,weighted_mean,mode,minmax,1.0,1.0,balanced,weighted_sum,minkowski,jaccard,3,42,38.299,3971.22,3179,1.0,1.0,0.0218,0.0293,0.013,1.0,0.7048,0.0,False,2.29251,27,churn,0.0
013_k3_cat-mode_num-weighted_mean_tgt-mode_scale-standard_weighted_sum-manhattan-cat-hamming_w-balanced,K=3 cat=mode num=weighted_mean tgt=mode scale=standard weighted_sum/manhattan/hamming/balanced,3,3,mode,weighted_mean,mode,standard,1.0,1.0,balanced,weighted_sum,manhattan,hamming,3,42,56.714,2813.23,3179,1.0,1.0,0.0362,0.0211,0.0085,0.2906,0.2557,0.0,True,2.291663647625602,28,,
009_k3_cat-mode_num-weighted_mean_tgt-mode_scale-standard_weighted_sum-euclidean-cat-overlap_w-balanced,K=3 cat=mode num=weighted_mean tgt=mode scale=standard weighted_sum/euclidean/overlap/balanced,3,3,mode,weighted_mean,mode,standard,1.0,1.0,balanced,weighted_sum,euclidean,overlap,3,42,57.086,2978.6,3179,1.0,1.0,0.0196,0.023,0.00385,0.2906,0.2571,0.0,True,2.290861266345492,29,,
012_k3_cat-mode_num-weighted_mean_tgt-mode_scale-standard_weighted_sum-euclidean-cat-overlap_w-balanced,K=3 cat=mode num=weighted_mean tgt=mode scale=standard weighted_sum/euclidean/overlap/balanced,3,3,mode,weighted_mean,mode,standard,2.0,2.0,balanced,weighted_sum,euclidean,overlap,3,42,57.054,2978.6,3179,1.0,1.0,0.0196,0.023,0.00385,0.2906,0.2566,0.0,True,2.2894606882312454,30,,
078_k3_cat-mode_num-weighted_mean_tgt-mode_scale-robust_weighted_sum-euclidean-cat-jaccard_w-balanced,K=3 cat=mode num=weighted_mean tgt=mode scale=robust weighted_sum/euclidean/jaccard/balanced,3,3,mode,weighted_mean,mode,robust,1.0,1.0,balanced,weighted_sum,euclidean,jaccard,3,42,41.434,2978.6,3179,1.0,1.0,0.0192,0.0279,0.00485,1.0,0.7278,0.0,False,2.2855600000000003,31,churn,0.0
056_k3_cat-mode_num-weighted_mean_tgt-mode_scale-minmax_weighted_sum-manhattan-cat-jaccard_w-balanced,K=3 cat=mode num=weighted_mean tgt=mode scale=minmax weighted_sum/manhattan/jaccard/balanced,3,3,mode,weighted_mean,mode,minmax,2.0,2.0,balanced,weighted_sum,manhattan,jaccard,3,42,26.489,2813.17,3179,1.0,0.875,0.0224,0.0294,0.01435,1.0,0.7039,0.0,False,2.2846100000000003,32,churn,0.0
064_k3_cat-mode_num-weighted_mean_tgt-mode_scale-minmax_weighted_sum-minkowski-cat-hamming_w-balanced,K=3 cat=mode num=weighted_mean tgt=mode scale=minmax weighted_sum/minkowski/hamming/balanced,3,3,mode,weighted_mean,mode,minmax,2.0,2.0,balanced,weighted_sum,minkowski,hamming,3,42,39.351,3971.22,3179,1.0,1.0,0.0218,0.0293,0.013,1.0,0.7048,0.0,False,2.28199,33,churn,0.0
076_k3_cat-mode_num-weighted_mean_tgt-mode_scale-robust_weighted_sum-euclidean-cat-hamming_w-balanced,K=3 cat=mode num=weighted_mean tgt=mode scale=robust weighted_sum/euclidean/hamming/balanced,3,3,mode,weighted_mean,mode,robust,2.0,1.0,balanced,weighted_sum,euclidean,hamming,3,42,44.837,2978.6,3179,1.0,1.0,0.0373,0.0223,0.00125,1.0,0.7511,0.0,False,2.28043,34,churn,0.0
067_k3_cat-mode_num-weighted_mean_tgt-mode_scale-minmax_weighted_sum-minkowski-cat-jaccard_w-balanced,K=3 cat=mode num=weighted_mean tgt=mode scale=minmax weighted_sum/minkowski/jaccard/balanced,3,3,mode,weighted_mean,mode,minmax,2.0,1.0,balanced,weighted_sum,minkowski,jaccard,3,42,40.433,3971.22,3179,1.0,1.0,0.0219,0.0293,0.01265,1.0,0.7048,0.0,False,2.27117,35,churn,0.0
074_k3_cat-mode_num-weighted_mean_tgt-mode_scale-robust_weighted_sum-euclidean-cat-hamming_w-balanced,K=3 cat=mode num=weighted_mean tgt=mode scale=robust weighted_sum/euclidean/hamming/balanced,3,3,mode,weighted_mean,mode,robust,1.0,1.0,balanced,weighted_sum,euclidean,hamming,3,42,44.67,2979.99,3179,1.0,1.0,0.0228,0.0266,0.0063,1.0,0.7421,0.0,False,2.2687999999999997,36,churn,0.0
017_k3_cat-mode_num-weighted_mean_tgt-mode_scale-standard_weighted_sum-manhattan-cat-jaccard_w-balanced,K=3 cat=mode num=weighted_mean tgt=mode scale=standard weighted_sum/manhattan/jaccard/balanced,3,3,mode,weighted_mean,mode,standard,1.0,1.0,balanced,weighted_sum,manhattan,jaccard,3,42,56.652,2813.23,3179,1.0,1.0,0.0331,0.0216,0.0062,0.2906,0.249,0.0,True,2.2687279008947003,37,,
011_k3_cat-mode_num-weighted_mean_tgt-mode_scale-standard_weighted_sum-euclidean-cat-overlap_w-balanced,K=3 cat=mode num=weighted_mean tgt=mode scale=standard weighted_sum/euclidean/overlap/balanced,3,3,mode,weighted_mean,mode,standard,2.0,1.0,balanced,weighted_sum,euclidean,overlap,3,42,56.84,2978.6,3179,1.0,1.0,0.0366,0.0205,0.00665,0.2906,0.2484,0.0,True,2.265883207157605,38,,
020_k3_cat-mode_num-weighted_mean_tgt-mode_scale-standard_weighted_sum-manhattan-cat-jaccard_w-balanced,K=3 cat=mode num=weighted_mean tgt=mode scale=standard weighted_sum/manhattan/jaccard/balanced,3,3,mode,weighted_mean,mode,standard,2.0,2.0,balanced,weighted_sum,manhattan,jaccard,3,42,58.24,2813.23,3179,1.0,1.0,0.0331,0.0216,0.0062,0.2906,0.2526,0.0,True,2.265236063317275,39,,
079_k3_cat-mode_num-weighted_mean_tgt-mode_scale-robust_weighted_sum-euclidean-cat-jaccard_w-balanced,K=3 cat=mode num=weighted_mean tgt=mode scale=robust weighted_sum/euclidean/jaccard/balanced,3,3,mode,weighted_mean,mode,robust,1.0,2.0,balanced,weighted_sum,euclidean,jaccard,3,42,43.474,2978.6,3179,1.0,1.0,0.0174,0.029,0.00995,1.0,0.7284,0.0,False,2.26466,40,churn,0.0
004_k3_cat-mode_num-weighted_mean_tgt-mode_scale-standard_weighted_sum-euclidean-cat-hamming_w-balanced,K=3 cat=mode num=weighted_mean tgt=mode scale=standard weighted_sum/euclidean/hamming/balanced,3,3,mode,weighted_mean,mode,standard,2.0,2.0,balanced,weighted_sum,euclidean,hamming,3,42,59.77,2978.6,3179,1.0,1.0,0.0196,0.023,0.00385,0.2906,0.2566,0.0,True,2.262300688231245,41,,
008_k3_cat-mode_num-weighted_mean_tgt-mode_scale-standard_weighted_sum-euclidean-cat-jaccard_w-balanced,K=3 cat=mode num=weighted_mean tgt=mode scale=standard weighted_sum/euclidean/jaccard/balanced,3,3,mode,weighted_mean,mode,standard,2.0,2.0,balanced,weighted_sum,euclidean,jaccard,3,42,57.472,2978.6,3179,1.0,1.0,0.0136,0.0241,0.0044,0.2906,0.25,0.0,True,2.2614690571231932,42,,
021_k3_cat-mode_num-weighted_mean_tgt-mode_scale-standard_weighted_sum-manhattan-cat-overlap_w-balanced,K=3 cat=mode num=weighted_mean tgt=mode scale=standard weighted_sum/manhattan/overlap/balanced,3,3,mode,weighted_mean,mode,standard,1.0,1.0,balanced,weighted_sum,manhattan,overlap,3,42,59.755,2813.23,3179,1.0,1.0,0.0362,0.0211,0.0085,0.2906,0.2557,0.0,True,2.261253647625602,43,,
057_k3_cat-mode_num-weighted_mean_tgt-mode_scale-minmax_weighted_sum-manhattan-cat-overlap_w-balanced,K=3 cat=mode num=weighted_mean tgt=mode scale=minmax weighted_sum/manhattan/overlap/balanced,3,3,mode,weighted_mean,mode,minmax,1.0,1.0,balanced,weighted_sum,manhattan,overlap,3,42,29.19,2813.17,3179,1.0,0.875,0.0228,0.029,0.014,1.0,0.7068,0.0,False,2.2609,44,churn,0.0
